13336203
/m/03c2361
/m/03c2361
Chinua Achebe
1966
{"/m/05hgj": "Novel"}
a 8
account 1
agrees 1
an 2
and 4
as 2
asking 1
be 1
begins 1
book 1
both 1
bribes 1
but 1
cheats 1
chest 1
chief 1
closely 1
come 1
corrupt 1
country 2
coup 1
culture 1
death 1
died 1
ends 1
face 1
fiancee 1
fictional 1
firstperson 1
forces 1
former 1
forward 1
from 2
girlfriend 1
good 1
had 1
he 2
him 1
his 5
however 1
if 1
impressive 1
in 3
increase 1
inspired 1
instead 1
invitation 1
is 4
job 1
known 1
lead 1
life 1
line 1
man 2
military 1
minister 6
murderer 1
nanga 2
nigeria 1
now 1
odili 6
of 7
office 1
old 1
on 1
opposition 1
over 1
paid 1
particularly 1
party 1
people 2
personal 1
position 1
postcolonial 1
power 1
powerful 1
protect 1
prove 1
pursue 1
receives 1
resembling 1
revenge 1
riches 1
school 1
seeking 1
shoot 1
someone 1
teacher 3
the 12
though 1
threats 1
to 7
traditions 1
triumphs 1
uses 1
violent 1
wealth 1
when 1
who 2
with 2
without 1
you 1
your 2
