21332334
/m/05f7ys5
/m/05f7ys5
Allen Steele
2007
2288 1
a 8
aboard 1
ad 1
after 1
agency 1
alien 3
almost 1
amazing 1
an 4
and 3
anxious 1
arranges 1
array 1
arrogant 1
associate 1
attempt 1
be 1
been 1
but 1
by 1
captain 3
clearly 1
connected 1
contact 1
could 1
crew 1
designed 1
destruction 1
director 1
discoveries 1
discovers 1
dubbed 1
efficient 1
european 1
explore 2
first 2
for 5
four 1
galileo 3
gate 1
group 1
harker 2
has 3
he 2
him 1
his 1
human 1
humans 1
hyperspace 1
ian 1
in 2
is 4
jared 1
john 1
lawrence 1
lead 1
life 1
like 1
looks 1
makes 2
may 1
measures 1
meets 1
member 1
minded 1
moon 1
nearby 1
object 1
of 7
officer 1
on 1
onethird 1
orbiting 1
poison 1
politically 1
population 1
potential 1
programmed 1
ramirez 1
received 1
reduce 1
respected 1
rest 1
role 1
science 1
seems 1
sentence 1
serves 1
serving 1
shillinglaw 1
source 1
space 2
spaceship 1
species 1
spindrift 3
suggestion 1
surprising 1
surreptitious 1
surviving 1
taken 1
team 2
ted 3
telescopic 1
that 6
the 17
to 5
too 1
trade 1
transmission 2
trip 1
under 1
use 1
visit 1
well 1
what 2
which 1
while 1
who 1
will 1
with 1
witnesses 1
