32099534
/m/0gx2083
/m/0gx2083

1911
{"/m/05hgj": "Novel"}
a 3
access 1
act 1
and 3
authority 1
became 1
between 1
boyfriend 1
breaks 1
by 2
carmen 5
cohort 1
convent 2
destruction 1
did 1
eladio 1
enter 1
fire 2
for 1
former 1
gain 1
her 1
horses 1
however 1
in 2
included 1
influence 1
inheritance 1
is 1
jesuit 3
machinations 1
mr 3
narrative 1
not 1
of 4
on 2
ongoing 1
only 1
order 1
plans 1
priests 4
property 1
relationship 1
religious 1
resurreccion 2
roland 3
ruined 1
run 1
scene 1
set 1
stable 1
succeed 1
succeeded 1
the 10
their 1
there 1
these 1
thus 1
to 4
tried 1
up 1
used 1
vengeance 1
was 3
wealth 1
when 1
with 1
