14504141
/m/03d5n4d
/m/03d5n4d
Gavin Lyall
1965
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 7
across 1
after 1
against 1
alcoholic 1
an 2
and 4
approached 1
arrest 1
as 2
assassins 1
be 1
bodyguard 1
brittany 1
business 1
by 1
can 1
cane 2
clock 1
complicated 1
comrade 1
contacts 1
create 1
day 1
days 1
driven 1
end 1
europe 1
expediter 1
exsoe 1
fact 1
financier 1
for 2
former 2
france 1
french 2
from 1
germany 1
get 1
goes 1
gunning 1
half 1
have 1
he 3
henri 1
her 1
highest 1
him 1
his 2
hitmen 1
however 1
ii 1
in 3
international 1
is 2
job 1
lawyer 1
lewis 1
liechtenstein 1
like 1
living 1
maganhard 3
making 1
merlin 1
might 2
mysterious 1
nazi 1
needs 1
not 1
of 2
on 1
one 1
open 1
operative 1
or 2
out 3
paris 1
police 1
precarious 1
price 1
private 1
problem 1
problems 1
quickly 1
races 1
resistance 3
secrecy 1
secretary 1
seemingly 1
seems 1
sell 1
simple 1
somewhat 1
sret 1
start 1
stayed 1
switzerland 1
that 1
the 9
them 1
things 1
three 1
to 3
triggerhappy 1
trust 1
war 1
warrant 1
way 1
wealthy 1
when 1
who 3
whom 1
with 2
within 1
worked 1
world 1
