4736468
/m/0cknkq
/m/0cknkq
Matthew Pearl
2006
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
184 1
8 1
a 10
about 1
after 2
ahead 1
aide 1
allan 1
american 1
and 6
approach 1
as 1
attendant 1
attendants 1
auguste 3
author 1
back 1
baltimore 3
baron 4
been 1
before 1
blum 1
bonjour 2
c 1
ca 1
character 3
circumstances 1
clark 5
clear 1
conclusion 1
confrontational 1
continue 1
could 1
day 1
days 1
death 3
described 1
despite 1
detective 3
dupin 3
duponte 2
edgar 1
encounter 1
evidence 1
exchanged 1
famed 1
feels 1
female 1
fiance 1
fiction 1
final 1
find 1
for 3
found 1
friend 1
from 4
funeral 3
gothic 1
had 1
hattie 1
have 1
he 4
help 1
henry 1
him 1
his 5
hobson 1
if 1
important 1
in 4
infamy 1
inspiration 2
inspired 1
intellect 1
interviews 1
into 1
investigate 1
investigating 1
investigation 1
is 2
it 1
journey 2
lawyer 2
learns 1
legal 1
letter 1
letters 1
literature 1
lone 1
look 1
man 1
many 1
meets 1
most 1
mysteries 1
mysterious 1
mystery 1
name 2
new 1
not 2
obliged 1
obtained 1
october 1
odyssey 1
of 13
on 3
only 1
other 1
out 1
paris 2
peter 1
poe 9
possibilities 1
possibly 1
previously 1
problemsolving 1
protests 1
providing 1
publication 1
quentin 1
quite 1
ratiocination 1
real 1
realizes 1
reallife 1
reynolds 1
rummaging 1
same 2
secret 1
seek 1
similar 1
simple 1
solving 1
somber 1
stories 2
streets 1
stuart 1
stylus 1
support 1
surprising 1
surrounding 1
takes 1
that 4
the 21
they 1
through 2
to 9
track 1
uncovered 1
unfold 1
unravel 1
was 3
what 1
who 2
whom 1
with 4
witnesses 2
writer 1
written 1
