29565749
/m/0czwhg
/m/0czwhg
Kathryn Lasky
2003-09-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
a 22
able 1
about 2
accustomed 1
addressing 1
after 3
again 1
aggie 1
all 3
allowed 1
also 2
always 1
an 2
and 22
any 1
approval 1
are 1
area 1
arrival 1
arrived 1
as 2
asked 1
at 4
attacked 2
attitude 1
babbling 1
band 19
barran 1
barred 2
barren 1
battle 1
be 13
beak 1
beaks 1
bear 1
became 3
because 8
becoming 1
before 1
began 1
begin 1
begun 1
being 1
beloved 1
bit 1
blacksmith 1
blown 1
bobcat 2
boron 2
broke 1
broken 1
bubo 1
burning 1
but 6
by 6
came 3
catch 1
cave 1
certain 1
chamber 2
chaw 2
chawed 1
chaws 4
cherish 1
coal 1
colliering 1
come 1
concerning 1
condition 1
confident 1
content 2
continued 1
cost 1
could 2
couple 1
course 1
created 1
creatures 1
crows 2
danger 1
dangerously 1
dark 1
day 2
dead 1
decided 1
dedicate 1
departure 1
desolate 1
despite 2
difficulties 1
digger 3
disappointed 1
disaster 1
discover 1
discovered 1
disturbing 1
double 1
downing 2
dropped 2
during 1
dying 1
earned 1
effective 1
eglantine 5
ended 1
escorted 2
even 1
event 1
eventually 4
ever 2
every 1
extent 1
ezylryb 5
family 2
fears 1
felt 2
female 1
fend 1
find 2
finding 1
for 4
found 5
from 3
further 1
gahoole 7
garnered 1
get 1
gleaming 1
go 1
goods 1
great 7
groups 1
guardians 5
guild 1
gylfie 1
had 7
happened 1
hard 1
harp 1
haunted 1
he 5
heard 1
hearing 2
help 1
her 4
him 2
hindered 1
his 5
hollow 1
hoole 1
horned 1
however 5
hypnotized 1
ice 1
if 1
in 11
informed 2
injured 1
instantly 1
intimidating 1
into 8
investigation 1
investigations 1
isinglass 1
island 1
it 1
journey 1
just 2
kill 1
kingdoms 1
knowledge 1
known 1
lakes 1
landing 1
last 1
later 2
learned 3
leaving 2
left 1
life 1
longer 1
madame 1
made 1
mags 1
managed 3
many 1
masked 2
matter 1
meeting 1
members 1
mirror 1
missing 1
mobbed 1
monarchs 1
more 2
mrs 3
much 1
must 1
named 2
narrows 1
needed 1
neighbouring 1
new 1
news 1
next 1
no 1
nobility 1
nonsense 1
normal 1
northern 1
not 3
now 1
oddest 1
of 21
off 3
oh 1
on 3
once 1
one 1
only 3
otulissa 2
out 2
over 1
owl 11
owlets 2
owls 3
panic 2
parliament 2
part 1
passed 1
piece 1
placed 2
plithiver 3
plonke 1
potential 1
problems 1
progress 1
prone 1
proved 3
puffins 1
purity 1
put 1
quest 4
rare 1
reassured 1
recognized 2
remembrance 1
rescue 1
resolution 1
respective 1
returned 1
roots 1
ryb 1
screech 1
search 1
seen 1
self 1
separated 1
she 2
shelter 1
shocked 1
shown 2
since 1
singer 1
sister 1
skeptical 1
skill 1
skills 2
slipgizzle 1
snowy 2
sooty 1
soren 14
sought 1
sound 1
specialized 1
species 1
spot 1
spotted 1
spruce 1
spy 1
st 1
staggie 1
stalwartness 1
stay 2
stayed 1
still 1
stirred 1
straight 1
strange 1
stuckup 1
subside 1
supported 1
surfaces 1
swatums 1
sweetums 1
sycamore 1
taken 1
talkative 1
talon 1
than 1
that 19
the 65
their 14
them 3
themselves 1
these 1
they 16
thinking 1
this 4
thought 2
through 1
time 1
to 28
together 1
topic 1
towards 1
trade 1
trader 1
training 1
transmitting 1
tree 10
true 1
truly 1
twilight 5
tyto 1
under 1
unwavering 1
up 1
upon 3
valuable 1
ventured 1
visit 1
wait 1
was 11
wasnt 2
way 2
weather 2
wellbeing 1
went 1
were 10
what 1
when 6
where 2
whiskered 1
who 3
whose 1
wish 1
with 4
words 2
worked 1
would 7
yet 1
you 1
