4664414
/m/0cg3ml
/m/0cg3ml
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
all 1
anakin 1
and 2
apprentice 2
are 1
as 2
been 2
bellassa 1
betrayal 1
but 2
by 1
child 1
concerned 1
decides 1
decision 1
desperate 2
destroyed 1
devastated 1
emperor 1
empire 3
extinct 1
far 1
fellow 1
ferus 3
finds 1
for 1
former 2
gets 1
go 2
has 4
he 2
heart 1
help 1
his 2
in 1
influence 1
into 1
is 1
jedi 4
jediand 1
kenobi 1
known 1
last 2
left 2
loss 1
luke 1
make 1
master 1
missionright 1
must 1
named 1
obiwan 6
of 6
olin 2
on 3
one 3
or 2
order 2
out 1
over 1
padawan 1
painful 1
planet 3
problems 1
protect 1
remains 1
remote 1
rescue 1
risen 1
search 1
skywalker 1
stay 1
survived 1
task 1
tatooine 2
that 2
the 14
this 1
to 3
under 1
up 1
watch 1
when 1
whether 1
will 2
with 1
wrapped 1
young 1
