1895804
/m/064gxq
/m/064gxq
Terry Brooks
1990-03
a 32
about 3
accomplish 1
act 2
actually 1
adventures 1
after 3
again 1
agree 1
agrees 1
all 3
allanon 3
ally 1
also 2
an 9
ancient 3
and 78
another 4
are 18
arguing 1
army 1
arrest 1
as 2
asks 1
asphinx 3
at 2
attacked 1
away 2
back 2
base 3
basement 1
battle 3
be 5
beast 1
because 4
become 1
becomes 1
becoming 1
been 2
before 4
begins 1
behind 1
being 1
believes 1
betrayed 1
bites 1
black 4
boh 3
born 1
both 2
bottom 1
breach 1
breaking 1
bridge 2
brings 1
broken 1
brother 3
brothers 2
brought 1
built 1
bursts 1
but 5
by 10
called 1
can 3
captured 1
cause 1
certain 1
charged 3
charges 1
city 2
claims 1
closely 1
cogline 3
coll 14
come 1
comes 2
coming 1
companions 3
company 2
completely 1
confronted 1
confused 1
could 1
covered 1
create 1
creature 1
creel 8
cruel 2
dall 3
damson 8
dead 2
debate 1
decide 1
deliver 1
depressed 1
destroyed 1
determined 1
devise 1
dig 1
distract 1
do 1
does 4
doing 1
doomed 1
druid 4
druids 3
dwarf 1
dwarves 3
eastland 1
effectively 1
elfstone 4
elves 2
encounters 1
end 1
ends 1
escape 5
escapes 1
escorts 1
even 1
eventually 1
everything 1
evil 1
excluding 1
explains 1
extinct 1
face 1
fake 1
far 1
fate 2
federation 10
feels 1
fight 1
find 5
finding 1
finds 5
first 2
fled 1
flee 1
for 13
forbidden 1
forge 2
fought 1
found 3
four 3
free 3
friend 1
friends 1
frightening 1
from 8
fulfill 1
get 1
girl 1
give 1
go 5
goes 7
gone 1
great 2
group 3
guard 1
guarded 1
guards 2
had 3
hadeshorn 2
hag 1
hall 2
hand 3
happened 1
has 3
have 2
having 4
hawk 1
he 27
head 1
heads 1
health 1
help 3
her 3
hidden 1
hide 1
hides 1
hiding 2
him 8
himself 1
hirehone 1
his 10
histories 1
history 1
hoping 1
however 4
ill 1
illegal 1
illusion 1
important 1
impossible 2
imprisoned 1
in 26
indeed 1
informs 1
insignia 1
insists 1
instead 1
into 8
is 26
it 8
itself 1
join 1
just 1
key 4
killed 1
kills 1
kind 1
kings 2
know 2
known 1
knows 3
ladder 1
land 4
lands 2
last 3
late 1
later 1
law 1
leader 2
leads 2
leah 5
learns 1
leave 1
leaves 1
leaving 2
led 1
legend 1
legends 1
lies 1
live 1
lives 1
location 1
long 1
lose 1
lost 4
lover 1
lower 1
magic 5
magical 1
make 3
makes 1
man 3
managed 1
many 1
mastered 1
matter 1
meanwhile 1
meet 4
meeting 1
meets 3
message 1
messenger 1
might 1
military 1
mines 1
missing 1
mole 3
more 1
morgan 12
movement 8
much 2
must 2
mysterious 2
name 1
need 1
night 2
not 3
now 2
nurtures 1
occurring 1
of 48
ohmsford 2
ohmsfords 1
old 2
on 4
once 4
one 3
ones 1
opened 1
opening 1
or 1
order 5
other 2
out 9
outlaw 1
outlaws 4
outside 2
over 1
overcome 1
padishar 4
par 28
paranor 3
park 2
parma 4
passageway 2
past 2
people 1
perils 1
pit 10
place 7
placed 2
plan 3
point 1
poison 1
poisons 1
possessed 1
power 1
practice 1
precious 1
prepare 1
prison 1
problems 1
pursued 2
put 1
races 1
rather 1
reaching 1
rebel 1
rebels 2
receive 1
recover 2
request 1
rescued 1
restore 1
return 1
returning 1
revenge 1
rhee 1
rimmer 3
ring 2
rock 1
ruled 1
run 1
runs 2
safely 1
said 1
saved 1
say 1
saying 1
says 1
scions 3
second 1
secret 1
see 2
seeker 1
seen 2
sees 1
sendric 1
senses 1
sent 1
series 1
set 2
shade 2
shadowen 6
shale 1
shannara 5
she 1
show 2
shows 1
sick 1
since 1
sings 1
slowly 1
snake 1
so 3
some 1
someone 1
something 2
somewhere 1
soon 1
spread 1
stand 2
start 1
stay 1
steff 2
stone 3
story 1
supposedly 1
surely 1
survived 1
sword 12
takes 2
taking 1
tale 1
task 2
tasks 1
tavern 2
teel 3
telling 1
tells 2
that 27
the 137
their 8
them 17
then 5
there 6
they 16
things 1
thinking 1
this 3
those 1
though 1
threaten 1
three 1
through 4
thus 2
time 4
to 61
together 1
toil 1
told 1
too 1
traitor 2
trapping 1
travel 3
tries 1
trouble 1
truth 1
tunnel 1
tunnels 2
turned 2
turns 2
two 3
tyrsis 4
under 1
underground 2
unfortunately 1
unseen 1
until 2
up 2
upon 4
use 2
uses 1
using 3
valley 1
vanished 1
varfleet 2
various 1
vault 3
venture 2
vowing 1
walk 1
walker 9
want 1
wanted 1
wants 2
was 6
way 4
were 4
westland 1
what 3
when 2
where 6
which 3
while 4
who 11
whom 1
wickedness 1
will 5
wishsong 3
with 12
woods 1
would 1
wounded 1
wren 4
years 1
yet 1
