31800696
/m/0gttqy3
/m/0gttqy3
Jane Green
2003
a 15
accounts 1
advises 1
affairs 1
after 1
aghast 1
agrees 1
alice 18
all 1
alone 1
along 1
an 1
and 24
another 1
apart 1
apartment 2
are 1
as 10
at 1
avoid 1
back 1
because 2
becomes 3
before 1
begins 1
being 1
best 2
blessed 1
boyfriend 1
breakdown 1
brings 1
business 2
but 3
by 3
chance 1
chasing 1
checking 1
city 2
close 1
colinwho 1
company 1
compliant 1
condition 2
consider 1
contacts 1
continue 1
continues 1
convinces 1
could 1
country 5
couple 1
craft 1
crush 1
day 1
days 1
desperate 1
discovered 1
discovers 1
dislikes 1
does 1
efforts 1
email 1
emily 6
enamored 1
encourages 1
end 2
england 2
enormous 1
eventually 1
executive 2
extramarital 2
falls 1
fancies 1
fastidious 1
feels 1
finally 1
for 1
forced 1
formerly 1
four 1
friend 2
friends 1
friendship 1
from 2
fulfilled 1
girl 2
girlfriend 1
give 1
grow 1
growing 1
had 1
harry 9
has 3
have 1
having 1
he 4
her 9
herself 1
highstrung 1
him 1
his 5
home 3
house 1
immaculate 1
immediately 1
in 10
increasingly 3
infidelity 1
instead 1
intermittently 1
into 1
intoxicated 1
invigorated 1
involved 1
is 12
it 2
its 1
job 1
joe 14
josie 2
kiss 1
kissing 1
later 1
latest 1
lengthy 1
life 1
local 1
london 1
longer 2
longtime 1
lose 1
man 1
marriage 1
married 1
marries 1
merits 1
met 1
misses 1
more 3
mousy 1
move 3
moved 1
moving 1
much 1
named 2
nervous 1
new 6
next 1
night 1
no 3
obviously 1
of 4
office 1
old 1
on 4
once 1
one 2
or 2
original 1
party 1
passion 1
perfect 1
philanderer 1
planned 1
prestige 1
project 2
promptly 1
pursuit 1
quickly 1
reconcile 1
rejected 1
relationship 4
relocate 1
remains 1
renounces 1
restoring 1
return 1
revealed 1
reveals 1
secure 1
sees 1
separates 1
serial 1
share 1
she 9
smalltown 1
so 1
spends 1
spite 1
stars 1
start 1
states 1
succeeded 1
suffers 1
suspects 1
takes 1
that 4
the 19
their 5
them 1
they 3
thinks 1
this 1
time 1
to 10
trophy 1
unable 1
under 1
unhappy 1
united 1
urbanite 1
viewed 1
visit 1
visits 1
warmth 1
wealth 1
wealthy 1
well 2
where 1
which 1
while 2
who 4
whom 3
wife 2
with 9
women 1
would 1
york 4
