14390472
/m/03d29b5
/m/03d29b5
John Grisham
2008-01-29
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
3 1
38 1
a 7
action 1
adopts 1
affects 1
against 1
all 1
allowed 1
also 1
ambitions 1
an 1
and 16
anticipate 1
any 1
appeal 1
appointed 1
are 1
attention 1
attorneys 1
awards 1
away 1
backers 1
baker 1
barry 1
battled 1
be 2
because 1
been 1
before 1
being 1
big 1
billionaire 1
boca 1
bowmore 1
brought 1
by 7
campaign 2
can 1
cancer 1
candidate 2
carcinogenic 1
carl 1
case 1
cases 1
caused 1
cede 1
ceo 1
chemical 1
choice 1
citybased 1
clete 1
client 1
clownish 1
coffers 1
coley 1
come 1
comes 1
company 2
considerable 1
corporate 1
corporation 1
court 2
damages 2
deals 1
death 1
decision 1
defeat 1
defeats 1
defective 1
designed 1
do 3
does 2
dont 1
draw 1
easy 1
effort 1
elected 1
elections 1
enough 1
error 1
even 1
eventually 1
expect 1
expected 1
experience 1
family 1
feels 1
firm 1
fisk 5
for 4
forced 1
from 2
funds 1
gambler 1
grace 1
happened 1
has 2
have 1
he 8
heavydrinking 1
her 4
him 3
his 9
however 1
husband 1
immediately 1
impact 1
impaired 1
impressed 1
in 5
injured 1
into 3
is 7
issue 1
it 1
jeannette 1
jury 1
justice 1
justices 1
knowingly 1
known 1
krane 1
large 1
lawyer 1
left 1
level 1
likely 1
look 1
lost 1
make 1
makes 1
mary 1
mccarthy 3
medical 1
million 2
mississippi 2
move 1
naive 1
necessary 1
negligently 1
new 1
newfound 1
no 2
not 2
of 6
off 1
on 2
or 2
overturn 1
payton 1
paytons 1
permanently 1
personal 1
plaintiff 1
plots 1
political 1
pollutants 1
position 1
pouring 1
power 1
prior 1
product 1
punitive 1
question 1
race 1
rather 1
raton 1
relish 1
responsibility 1
rethink 1
review 1
right 1
rinehart 2
ring 1
rogue 1
ron 1
same 1
save 1
secret 1
seek 1
seep 1
select 1
seriously 1
settlements 1
several 1
sheila 1
shore 1
shown 1
side 1
sides 1
silly 1
since 1
son 3
source 1
specializes 1
stand 1
stocks 1
supply 1
support 1
supreme 1
tactics 1
take 1
team 1
tendency 1
than 1
that 2
the 18
their 4
then 1
they 1
think 1
third 1
though 1
thrown 1
to 14
town 1
tricked 1
troyhogan 1
trudeau 2
underdog 1
underhanded 1
unexpectedly 1
up 1
upholding 1
used 2
votes 1
vows 1
water 1
wealth 1
wes 1
what 3
whatever 1
when 4
who 2
will 2
with 4
withdraws 1
would 1
wrongful 1
york 1
young 1
