1243731
/m/04lmvn
/m/04lmvn
Philip Massinger

1000 1
a 18
able 1
accepts 1
accompanied 1
act 1
actually 1
advances 1
advantage 1
affairs 1
affections 1
agreed 1
alehouse 1
all 3
allegiances 1
allworth 18
also 2
altogether 1
am 1
ambiguity 1
an 3
and 31
apparent 1
appearances 1
appetite 1
appropriate 1
are 4
as 5
ascension 1
at 3
attitude 1
audience 1
avoid 1
away 1
backstory 1
be 1
beats 2
become 2
been 5
being 1
believe 1
believes 1
between 1
booze 1
both 1
breaks 1
brutal 1
business 1
but 8
by 5
can 2
carrying 1
caused 1
chafing 1
change 1
character 1
charms 1
cheat 1
cheated 1
clergyman 1
cloisterd 1
cold 1
come 1
comic 1
command 1
commands 1
commission 1
compassdi 1
compliant 1
conducts 1
conform 1
connection 1
contain 1
contemporary 1
control 1
conversations 1
convinced 1
country 1
couple 2
course 1
custody 1
dark 1
daughter 4
decides 2
deed 1
demands 2
demonstrate 1
denouement 1
discovers 2
discusses 1
discussing 1
dismisses 1
dissolute 2
distracted 1
down 1
duels 1
each 1
eight 1
ejected 1
elope 1
ends 2
enormous 1
enraged 1
enters 1
estates 3
even 3
eventually 1
expressions 1
facilitate 1
faded 1
fall 1
fallen 1
favor 1
favors 2
final 2
financial 2
first 1
flagrant 1
folly 1
food 1
fool 1
fooled 1
for 5
forced 1
forces 1
formidable 1
fortune 2
frank 1
from 3
froth 1
full 1
further 1
gentry 1
giles 9
gives 2
glimpse 1
glutton 1
gobetween 1
gotham 1
gourmand 1
greedy 3
greet 1
guests 1
had 2
harsh 1
has 10
have 4
he 21
help 1
henchmen 1
her 10
him 11
himself 1
his 38
honorable 1
hospitality 1
house 1
however 1
hurried 1
husband 1
i 1
immediate 1
in 12
including 1
indicating 1
indignantly 1
informs 1
instead 1
instructions 1
instructs 1
insulting 1
intentions 1
interest 1
interrupted 1
into 5
is 18
its 2
jack 1
joy 2
junior 1
justice 2
key 1
kisses 1
knows 1
lady 11
lands 2
late 2
lawyer 1
leading 1
lean 1
led 1
legal 1
listening 1
loan 1
local 3
lord 6
lose 1
lost 1
love 1
lovell 14
lovers 1
luck 1
made 1
make 1
makes 1
man 4
manage 1
manipulations 1
marall 9
margaret 7
marriage 2
married 2
marry 4
marrying 1
match 1
mdash 1
means 1
meet 1
members 1
messages 1
military 1
mind 1
mocks 1
more 2
most 1
mother 1
mourning 2
my 2
myself 1
mysteriously 1
nature 1
nay 1
near 1
neighbors 1
nervous 1
no 3
nobleman 1
nor 1
not 1
nottinghamshire 1
obsessed 1
of 32
offer 1
offers 2
on 2
once 1
opens 1
oppressed 1
out 2
outbut 1
over 1
overreach 16
overwrought 1
own 4
page 3
papers 1
patron 1
peace 1
penury 1
people 1
pieces 1
plan 1
plans 1
play 5
plot 1
possesses 1
possession 1
pounds 1
poverty 1
presence 1
pressures 1
prime 1
progresses 1
promotes 1
property 2
prospective 1
protagonist 1
protective 1
provide 2
pursuing 1
quarrels 1
rapture 1
ready 1
realizes 1
recollection 1
recovery 1
reduced 1
reformation 1
refused 1
refuses 2
regiment 1
rejects 3
relationship 1
relief 1
relieve 1
reluctant 1
rely 1
remaining 1
remains 1
reminds 1
reparations 1
repent 1
reprobate 1
request 1
requests 1
resist 1
retains 1
return 1
returns 1
revealing 1
revenge 2
reversal 2
romance 1
rural 1
ruthless 1
sanity 1
says 1
scarce 1
scene 3
seclusion 1
seconding 1
security 1
seeking 1
seeks 1
seen 1
sees 3
sends 1
servants 3
service 1
set 1
she 6
shown 1
shows 1
since 2
sincerely 1
sir 9
small 1
so 2
son 1
speak 1
state 3
storms 1
stresses 1
sudden 1
suitors 1
sum 1
supply 1
supported 1
sure 1
suspecting 1
sweat 1
switch 1
sword 1
taken 1
taking 1
tapwell 1
tavernkeeper 1
text 1
thanks 1
that 15
the 49
their 3
them 1
there 1
these 1
they 1
thinking 1
thinks 1
this 6
though 3
thousand 1
to 33
tobacco 1
together 3
tom 3
too 2
toward 1
treatment 1
trickery 1
truth 1
tune 1
turn 1
two 3
up 2
vices 1
victim 1
village 1
villainy 1
visited 1
visits 1
wants 2
way 2
welborn 23
what 1
when 7
while 2
whisper 1
who 1
widowed 1
wife 1
will 4
willing 1
with 14
wits 1
work 1
written 1
yet 1
young 5
