3788021
/m/0b01cr
/m/0b01cr
Catherine Asaro
2000-03
18 1
6000 1
a 3
able 1
after 2
ago 1
although 1
an 3
ancient 1
and 3
another 1
are 1
aristo 1
as 1
auction 1
be 3
because 1
been 1
begins 1
between 1
bold 1
book 2
by 2
captured 2
climax 1
coba 1
command 1
corona 1
cripples 1
deactivates 1
device 1
discovers 1
during 1
earth 2
emperor 1
empire 2
enemies 1
enslavement 1
escape 1
escaped 1
eube 1
eubian 1
eubians 2
even 1
feelings 1
fell 1
finance 1
for 2
forced 1
fuel 1
future 1
gain 1
had 1
has 1
he 6
heading 1
heads 1
health 1
held 1
her 1
his 7
home 1
iii 1
immediately 2
in 1
instead 1
into 1
iquar 1
is 2
it 1
jafe 1
jaibriol 2
jeejon 1
job 1
just 1
kelric 7
land 1
lock 1
long 1
lucrative 1
maccar 1
made 2
make 1
makes 1
manages 1
mechanism 1
meets 2
minister 1
mixed 1
new 1
not 1
of 6
off 1
officer 1
on 1
only 1
original 1
over 1
parents 1
passage 1
peace 1
people 1
planet 2
possession 1
prisoner 1
proposes 1
provider 1
psion 1
radiance 1
reuniting 1
ruby 1
sells 1
ships 1
short 1
significantly 1
skolia 1
slave 1
some 1
spaceship 1
successful 1
supply 1
suspects 1
tactical 1
takes 1
talks 1
taratus 1
tarquine 2
the 12
there 1
they 1
though 1
to 10
together 1
under 1
up 1
war 1
where 2
which 2
whom 1
wife 1
with 1
world 1
years 2
