2525414
/m/07kxy6
/m/07kxy6
John Steinbeck
1933
{"/m/0l67h": "Novella"}
133 2
136 1
137 1
a 23
about 7
accountant 1
accustomed 1
acknowledges 1
across 2
acting 1
action 1
actually 1
adults 2
adventures 1
advice 1
after 8
afterwards 1
again 2
agrees 1
all 4
allow 1
allowed 2
also 1
although 1
american 2
an 3
and 47
appearance 1
appears 2
are 2
argosy 1
around 1
arranges 1
arrival 1
arrives 2
as 9
ashamed 1
asks 1
asleep 1
assails 1
assume 1
assures 1
at 7
attempting 2
august 1
avail 1
awakens 1
awed 1
back 2
bag 1
barefoot 1
barn 4
be 9
beats 1
because 1
become 1
becomes 5
been 2
begin 1
beginning 1
begins 1
being 1
believe 1
billy 12
bird 2
board 1
boarding 1
book 1
books 1
bored 1
born 1
both 1
boy 1
breakfast 1
breaks 1
breathe 1
broke 1
buck 3
burying 1
but 6
buzzard 1
buzzards 1
by 9
came 1
can 1
cant 2
care 1
carl 4
catches 2
cattle 1
caught 1
check 1
child 4
childbirth 1
children 5
circling 1
claiming 1
clean 1
cleaned 1
climate 1
clogged 1
clothes 4
cloud 1
cold 1
colt 2
colts 1
come 1
comes 2
coming 1
community 1
companions 1
complains 2
concerns 1
conditions 1
console 1
constant 1
constantly 2
convalescence 1
corral 1
could 2
credit 1
cure 2
cut 1
deals 1
december 1
decides 1
deems 1
delicate 1
delighted 1
despite 1
determines 1
diagnoses 1
died 3
dies 1
dignified 1
disappointed 1
discussions 1
disease 1
disrepair 1
dissatisfied 1
do 1
doctor 1
does 2
dollar 1
dollars 1
donehe 1
door 1
doubt 1
downpour 1
dreams 3
dressed 1
drier 1
drifts 1
dull 1
duties 1
earned 1
easter 2
eating 1
effort 1
ends 4
enough 1
entrance 1
entrusting 1
etc 1
eventually 1
ever 1
except 1
explains 2
explore 1
eye 1
failed 1
failing 1
fairer 1
falling 1
falls 1
family 1
fanciful 1
farm 3
farmstead 1
father 6
fatherinlaw 1
fee 1
feed 1
few 1
filled 1
finally 2
find 1
finds 1
finished 1
first 5
five 2
flights 1
foal 2
following 1
food 1
for 10
forget 1
forgetting 1
francisco 2
from 1
gabilan 4
genuine 1
gets 1
getting 1
gift 2
gitano 6
give 1
gives 1
go 2
goes 1
gone 3
good 1
grandfather 6
great 3
gun 1
had 1
hand 2
happen 1
hard 1
harper 1
has 8
having 2
he 32
head 1
hear 2
heartbroken 1
held 2
her 4
him 7
himself 1
hired 1
his 41
hole 1
holes 1
hoping 1
horrible 1
horse 9
horses 1
how 2
however 1
ideas 1
if 1
ignores 1
illhealth 1
illness 3
imagination 1
in 21
increasingly 1
indeed 1
independent 1
infallibilities 1
influenced 1
innocence 1
insistent 1
intentions 1
into 5
is 26
issue 4
it 8
its 1
jody 32
jokes 1
junius 10
know 2
landlord 1
last 2
lazy 1
leader 3
leading 1
learn 1
left 1
leisure 1
lemonade 1
life 5
likely 1
little 1
living 1
lone 1
long 2
longing 2
look 1
looks 1
loses 1
magnificence 1
majestic 1
maltby 1
man 9
manhood 1
many 1
mare 3
mares 2
marries 1
matter 1
may 1
melancholic 1
members 1
mexican 1
middle 1
milk 1
missing 1
moment 1
monthly 1
months 1
more 2
morning 2
most 1
mother 2
mountains 7
mr 1
mrs 1
mucus 1
muzzle 1
name 1
named 2
nearby 1
necessary 1
neighbor 2
nellie 6
nellies 1
never 1
new 1
next 1
night 4
no 4
nobody 1
none 1
nor 1
north 2
nostalgic 1
not 4
nothing 1
notices 1
noting 1
november 1
now 3
october 1
of 35
off 2
often 1
old 8
on 10
only 1
open 1
or 1
order 1
other 2
out 5
over 5
overall 1
overjoyed 1
own 2
painfully 1
people 1
pieces 1
places 1
placing 1
plains 2
polishing 1
pony 11
poor 1
possible 1
powerful 1
pregnancy 1
pregnant 1
preparing 1
present 1
pride 1
profitable 1
promise 1
promptly 1
provide 1
published 4
pulled 1
put 1
quickly 1
rage 1
rags 1
rain 1
raised 2
ranch 2
ranchfarm 1
rapier 3
reach 1
reading 1
realizes 1
realizing 2
received 1
recommends 1
red 1
refuses 1
regard 1
regarding 1
releases 1
remembers 1
removed 1
repeatedly 1
reports 1
requests 1
respiratory 1
responsibility 1
rest 1
retelling 1
review 2
ride 1
riding 1
right 2
romantically 1
room 1
same 1
san 2
satisfy 1
save 1
saved 2
says 1
scene 1
school 2
scorn 1
searches 1
secretly 1
see 2
seeing 1
seems 1
servant 1
serviced 1
several 1
sharp 1
she 2
shoes 2
short 1
side 1
sight 1
similar 1
since 1
single 1
sleep 1
sleepy 1
slips 1
sneaks 1
so 8
society 1
some 2
something 2
sometimes 1
son 6
sorrow 1
sound 1
spends 1
spite 1
spot 1
spurn 1
stall 1
states 1
stay 2
stays 1
steaming 1
stop 1
stopping 1
stories 3
story 5
strangles 2
stud 1
succumb 1
suddenly 1
summer 1
supposed 1
survive 1
swabbing 1
swaying 1
sword 1
sympathetic 1
sympathy 2
