198494
/m/01c5tb
/m/01c5tb
Fyodor Dostoyevsky
1867
{"/m/05hgj": "Novel"}
a 22
about 1
absolved 1
acquaintance 1
actually 1
after 6
again 1
alexei 13
all 3
allowing 1
almost 1
amount 3
an 1
and 38
any 1
are 4
aristocratic 1
around 2
as 2
asking 1
asks 1
asleep 2
astley 6
at 5
aunt 1
awaits 1
back 3
bad 1
balls 1
bank 1
baron 1
baroness 1
be 3
because 1
becomes 1
bed 1
been 1
before 2
being 1
bench 1
bet 1
bliss 1
bug 1
but 5
by 2
casino 3
certain 1
chain 1
children 1
cold 1
comes 2
cominges 3
couch 1
couldnt 1
couple 1
dares 1
day 6
de 5
deal 1
death 1
deathprofiteers 1
debt 2
debtors 1
debts 1
demise 1
details 2
do 1
does 3
doesnt 1
downright 1
dreaming 1
edge 1
empties 1
ends 1
english 1
englishman 1
entire 1
events 1
exchanging 1
expected 1
experience 1
explains 1
face 1
fall 1
fallen 1
family 2
famous 1
financial 1
finds 1
fired 1
first 2
firstperson 1
fondness 1
for 7
fortune 1
french 1
frenchman 1
frivolous 1
from 4
full 1
gain 1
gamble 2
gambling 2
general 7
german 2
get 1
gets 3
getting 2
give 1
gives 1
gladly 1
go 1
goaded 1
goes 2
going 1
gold 2
good 1
grandmother 3
greeted 1
grieux 2
guide 1
had 4
hand 1
has 3
hates 1
having 1
he 20
healing 1
hearing 1
her 10
hesitation 1
him 12
his 18
homburg 1
home 1
hope 1
hopelessly 1
horses 1
hotel 4
hundred 2
if 1
illness 1
in 12
indebted 3
indifference 1
infamous 1
inheritance 2
insult 1
interest 1
is 5
it 1
its 2
ivanovich 1
knows 1
later 1
laughs 1
leads 1
learning 2
learns 1
leaves 3
left 1
little 2
living 1
longtime 1
lost 1
love 5
madame 2
madamoiselle 1
made 1
malice 1
man 2
marriage 1
meet 1
meeting 1
moiety 1
money 5
month 1
mortgaged 1
mortgages 1
moscow 1
mother 1
mountain 1
mr 3
narcotic 1
narrative 1
needs 1
news 1
next 2
nobility 1
none 1
not 4
notes 2
oath 2
of 28
off 3
on 7
one 2
only 3
onto 1
out 3
over 1
paris 1
park 1
party 2
passes 1
past 1
patriarch 1
pay 2
piles 1
place 1
plays 1
plummet 1
pockets 1
point 1
polina 8
professes 1
property 2
railway 1
reason 1
recollects 1
refuses 1
reminded 1
return 2
returns 1
rich 1
room 4
roubles 2
roulette 4
runs 2
russia 1
russian 1
saying 1
schlangenberg 1
secretly 1
see 2
seems 1
sending 1
sends 1
servility 1
servitude 1
sets 1
share 1
she 23
short 1
shortly 1
shows 2
shy 1
significant 2
small 1
so 1
some 1
spend 1
stacked 1
starts 2
state 1
station 1
stay 1
story 1
streams 1
succumbs 1
suite 2
supposed 1
surprises 1
survive 1
swears 1
switzerland 2
table 2
tables 3
talk 1
telegrams 1
tell 1
tells 3
that 10
the 49
them 4
then 2
they 4
this 5
thousand 2
through 1
to 28
together 1
told 2
town 5
treats 1
tutor 2
two 1
undying 1
up 2
upon 2
use 1
ushered 1
view 1
waiting 2
walk 3
wants 2
was 4
waters 1
wealthy 1
what 1
when 4
where 2
while 2
who 1
whole 1
why 1
will 3
win 1
winning 1
winnings 1
wins 2
with 9
woman 1
won 1
word 1
working 1
would 1
wouldnt 1
