8834553
/m/027lc4w
/m/027lc4w
Lee Goldberg
2007-01-02
a 6
an 1
and 3
assaults 1
astrologer 1
back 2
bad 1
badge 1
be 2
before 1
better 1
blue 1
but 2
call 1
captain 1
catch 1
challenges 1
chance 1
clean 1
command 1
contract 1
desks 1
despite 1
dispute 1
doesnt 1
either 1
explains 1
fatal 1
flu 1
force 1
francisco 1
from 1
get 2
give 1
going 1
good 1
has 1
have 1
he 3
health 1
hell 1
his 2
horrified 1
importantly 1
in 2
is 3
it 3
jacket 1
just 1
killer 1
knows 1
labor 1
learns 1
like 2
look 1
make 1
means 2
members 1
mental 1
monk 4
most 1
mysterious 1
news 2
of 4
on 1
own 1
paragon 1
plan 1
police 1
pull 1
san 1
scab 1
series 1
sick 1
solve 1
some 1
sound 1
squad 2
stottlemeyer 1
summary 1
that 2
the 9
their 1
there 1
they 1
theyll 1
to 6
together 1
unfortunately 1
until 2
up 1
when 1
will 1
