661719
/m/030q0c
/m/030q0c
John Knowles
1959
142 3
143 1
16 1
a 14
able 1
about 2
academically 1
academy 1
accident 3
accuses 1
after 1
afterward 1
again 2
alma 1
also 1
and 18
anger 1
angerbased 1
another 1
any 1
apologize 1
are 3
around 1
as 5
at 8
athletic 1
attempts 2
away 1
back 1
be 1
because 2
become 1
before 2
beginning 1
begins 1
being 1
believe 1
believes 1
best 1
blitzball 1
blitzkrieg 1
blood 1
bone 2
both 1
branch 2
breaks 1
brings 1
brinker 2
but 2
by 3
called 1
can 1
carefree 1
caused 1
causing 1
charter 1
come 2
compete 1
complements 1
confirmed 1
confronted 1
continue 1
could 1
create 1
creates 2
cry 1
culminates 1
day 1
dear 1
death 1
debatetrial 1
debating 1
deed 1
demeanor 1
description 1
despite 1
devon 6
died 2
dies 1
dismisses 1
doctor 2
does 2
down 1
during 6
each 1
effect 1
ended 1
entered 1
everything 1
evidence 1
examines 1
exeter 1
extremely 1
extroverted 1
faced 1
fall 2
falls 1
fast 1
fearful 1
feels 2
fifteen 1
finally 1
finny 27
first 3
fleece 1
flight 2
following 1
follows 1
forgive 1
forrester 1
forward 1
friend 1
friends 1
friendship 2
from 6
game 1
gene 22
german 1
gets 1
getting 1
go 1
goes 2
golden 1
graduated 1
grips 1
guilty 1
had 1
hadley 1
hard 1
has 1
having 1
he 17
heart 1
high 1
him 4
himself 2
his 8
house 1
how 2
hurt 1
ideas 1
ii 1
impulsive 1
in 6
initiation 1
intellectual 1
intense 3
into 1
introverted 1
is 8
jealousy 1
jounces 1
jump 2
kill 1
knowles 1
large 1
learns 2
leaves 1
leg 2
life 1
lived 1
living 1
made 1
make 1
marble 2
marrow 1
mater 1
meeting 1
members 2
memories 1
more 1
most 1
much 1
mud 1
never 1
next 1
nicknamed 1
no 1
not 3
notices 1
novel 1
of 22
off 1
old 2
on 3
one 1
ones 1
onesided 1
operation 1
opposites 1
organization 1
other 1
out 2
outdo 2
over 1
own 1
period 3
personality 2
phillips 1
phineas 1
place 1
places 1
played 1
plot 1
point 1
polar 1
portrayal 1
possibly 1
prep 1
prominent 1
protagonist 1
purposely 1
quiet 1
realizes 1
regards 1
remainder 1
returns 1
revolves 1
rite 1
rivalry 3
river 2
roommate 1
rules 1
sarcastic 1
school 1
session 1
set 2
shamefully 1
shatter 1
shattered 1
shook 1
since 1
sites 1
so 1
society 2
soon 1
span 1
sports 1
stairs 3
standing 1
stating 1
stopped 1
story 2
stream 1
strives 1
student 2
suicide 1
summarizes 1
summer 4
super 1
surgery 1
taking 1
talk 1
tells 1
terms 1
that 9
the 38
their 1
then 1
there 1
they 3
thinlyveiled 1
this 3
through 2
time 4
to 19
took 1
towards 1
tree 5
trouble 1
trudges 1
trying 2
two 2
up 2
very 1
visit 1
visits 1
war 1
was 3
way 2
were 1
when 3
which 2
who 2
why 1
will 2
winner 1
with 9
world 1
would 1
years 2
