552085
/m/02p6cb
/m/02p6cb
Terry Pratchett

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
absorbs 1
accosted 1
activity 1
after 1
again 1
also 2
an 1
and 14
ankh 1
ankhmorpork 1
any 1
are 1
as 4
asks 2
assuming 1
at 1
attending 1
auditors 2
azrael 1
back 1
be 1
before 1
being 2
beings 1
between 1
bill 2
build 1
but 1
by 3
care 1
carts 1
cat 1
cities 1
city 2
club 3
coming 1
completed 1
confronts 1
creates 1
crown 1
dance 2
dancing 1
dead 1
death 17
deathdoor 1
deaths 2
deceased 1
defeated 1
destroy 1
destroys 1
developing 1
died 1
discover 1
discussion 1
discworld 1
do 1
does 1
dog 1
door 2
dreams 1
duty 1
eggs 1
elderly 1
else 1
end 2
ensure 1
escorts 1
even 1
every 1
everyone 1
everything 1
exception 1
exist 1
face 1
farm 1
feeds 1
feel 1
fianc 1
finally 2
finds 1
fleas 1
flitworth 3
for 7
force 1
form 2
forward 1
fresh 3
friends 1
from 1
full 1
ghosts 1
globes 1
go 1
goes 1
group 1
had 1
hand 1
harvest 1
hatches 1
have 1
having 2
he 5
her 3
him 3
himself 1
his 3
history 1
hours 1
human 1
humanity 1
humankind 1
humans 2
in 2
including 1
into 1
invade 1
invaded 1
is 6
it 3
its 1
join 1
just 1
led 1
life 1
lifeform 1
like 1
live 1
local 1
looking 1
mall 1
meets 2
middle 1
misadventures 1
miss 3
moment 1
more 1
morpork 1
most 1
must 1
name 1
need 1
new 3
night 1
not 2
notable 1
nothing 1
obeys 1
oblivion 1
of 15
offers 1
old 1
oldest 1
on 1
one 1
or 2
other 3
outwits 1
over 1
paranormal 1
parasitic 1
perform 1
personality 1
phenomena 1
planned 1
poltergeist 1
poons 2
prepare 1
rats 4
reality 1
realizes 1
really 1
receives 1
recently 1
reg 1
reincarnation 1
resemble 1
result 1
results 1
return 1
returning 1
reward 1
ride 1
right 1
rules 1
send 1
several 1
she 2
shoe 1
shopping 2
should 1
snow 1
some 3
species 1
start 3
started 1
starts 2
states 1
suggests 2
sun 1
take 1
taking 1
that 5
the 34
their 1
themselves 1
there 2
they 3
thinks 1
third 1
this 2
through 1
time 4
to 12
townspeople 1
tracking 1
ultimately 1
undeadrights 1
universe 1
university 1
unlimited 1
unseen 1
up 4
was 1
watch 1
way 1
what 1
whatever 1
when 1
which 1
while 2
who 2
windle 2
with 4
without 1
wizard 1
wizards 2
works 1
