14868737
/m/03g_nwq
/m/03g_nwq
Jacek Dukaj
2007
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
a 7
able 1
about 2
aiming 1
alfred 1
also 2
and 11
are 1
arrival 1
assuring 1
backing 1
be 1
been 1
benedykt 1
between 1
brought 1
by 4
caught 1
collaborating 1
communicate 1
conceived 1
conservatives 1
destroying 1
discovers 1
disguise 1
during 2
embark 1
entrepreneurs 1
eventually 1
factions 1
father 2
fighting 1
find 1
finds 1
followers 2
for 4
forces 1
from 1
frozen 1
fyodorov 1
fyodorovich 1
gambler 1
gierosawski 3
gieroslawski 1
group 1
has 2
he 2
him 1
hired 1
his 6
human 1
ice 2
idea 1
immortality 1
in 5
including 1
independence 1
industrial 1
interested 1
intrigue 1
irkutsk 1
is 3
journey 3
jzef 1
knowledge 1
leading 1
led 1
liedniacy 1
literal 1
logics 1
lost 1
lute 1
make 1
manipulating 1
manyvalued 1
marcyn 1
mathematician 1
may 1
meets 1
ministry 1
mostly 1
nikola 1
nikolai 1
notorious 1
novel 1
of 6
officials 1
on 3
ottiepelnicy 1
out 1
palace 1
person 1
pisudski 1
polish 2
political 3
possess 1
potentates 1
protagonist 1
rasputin 1
reality 1
relieve 1
revolutionaries 1
rivalry 1
russia 2
said 1
sect 1
separatists 1
siberian 3
st 1
strive 1
supported 1
sybiraks 1
tarski 1
technology 1
tesla 1
that 3
thaw 1
the 10
this 1
to 4
transsiberian 1
tsar 2
two 1
upon 1
various 1
visit 1
who 3
winter 2
with 2
work 1
worshiping 1
