30282609
/m/0g57b03
/m/0g57b03
Simon Scarrow
2009
180 1
1804 1
a 2
against 1
and 3
april 1
armies 2
army 1
around 1
arthur 3
at 2
battle 1
becoming 1
been 1
begun 1
being 1
between 1
book 1
britain 1
by 1
campaigns 1
central 1
commanding 1
covers 1
crowned 1
danish 1
december 1
defeats 1
deprive 1
emperor 1
end 1
england 1
europe 1
expeditionary 1
first 2
foiled 1
for 2
force 1
france 1
french 1
from 2
has 3
hatched 1
him 1
himself 1
his 1
iberian 1
in 5
india 1
inflict 1
invasion 1
is 2
liberate 1
making 1
more 1
name 1
napoleon 5
navy 1
novel 3
of 10
on 1
parallel 1
peninsula 1
period 1
plans 1
plot 1
plots 1
portugal 1
position 1
recently 1
returned 1
revolves 1
rule 1
running 1
sent 2
start 1
story 1
successful 1
tenuous 1
the 17
this 1
time 1
to 4
trafalgar 1
unit 1
wars 1
wesley 1
while 2
with 1
