1964153
/m/069dtc
/m/069dtc
Shirley Jackson
1959
a 12
ability 1
about 1
accept 1
after 1
all 2
alleged 1
although 1
an 4
and 22
another 2
anything 1
are 5
arrive 1
arrogant 1
arthur 1
artist 1
as 5
at 8
be 2
because 1
becoming 1
bedroom 1
begin 2
beginning 1
behind 1
believes 1
blunt 1
bohemian 1
book 3
bossy 1
boys 1
buildings 1
built 1
but 1
by 4
car 2
caretakers 1
caring 1
cause 1
characters 4
childhood 1
chosen 1
clear 1
comic 2
committed 1
communicate 1
companion 1
concerns 1
crain 1
crashes 1
darkness 1
death 1
deaths 1
declares 1
demanding 1
described 1
disturbances 1
disturbed 1
dont 1
door 1
dr 4
dudley 2
early 1
eightyyearold 1
eleanor 16
else 1
emotionally 1
encompasses 1
episode 1
episodes 1
especially 1
events 3
evidence 1
existence 1
experience 4
experienced 1
explains 2
fact 1
fear 1
fearing 1
find 1
flamboyant 1
for 4
force 2
form 1
four 4
friendships 1
from 1
ghost 1
guests 1
halls 1
hand 1
has 4
hauntings 1
have 1
having 1
he 2
headmaster 1
heir 1
help 1
her 11
hidden 1
hill 7
his 1
history 1
holding 1
home 1
hopes 1
host 1
house 13
however 1
hugh 1
imagination 1
implied 1
implies 1
in 12
including 2
indicate 1
inhabitants 1
interested 1
into 2
invalid 1
investigate 1
investigative 1
investigator 1
invites 1
involve 1
ironically 1
is 11
isolation 1
it 2
itself 1
john 1
killed 1
lack 1
large 1
later 1
least 1
leave 1
left 1
lesbian 1
live 1
lived 1
looks 1
losing 1
luke 2
main 1
mainly 1
man 1
mansion 1
many 2
may 2
members 1
memories 1
might 1
montague 7
montagues 1
mother 1
mr 1
mrs 5
must 1
named 1
narrative 1
near 1
never 1
night 3
no 1
not 1
novel 3
oak 1
oblivious 1
occur 1
of 18
on 2
one 1
only 2
or 2
other 4
others 3
outside 1
overnight 1
paranormal 1
parker 1
partly 1
past 1
people 1
phenomena 2
point 1
poltergeistlike 1
possess 1
possesses 1
possibility 2
possibly 1
practically 1
products 1
property 1
provides 1
reader 1
reality 1
recluse 1
references 1
refuse 1
regards 1
relief 2
rents 1
resents 1
resists 1
roaming 1
run 1
safety 1
same 1
sances 1
sanderson 1
school 1
scientific 1
screams 1
seem 1
seemed 1
sees 1
several 1
she 4
shy 1
significance 1
simply 1
singleminded 1
skills 1
social 1
some 3
sounds 1
source 2
spend 1
spirit 2
spirits 1
stay 1
story 1
strange 2
subconscious 1
suggested 1
suicide 2
summer 1
supernatural 5
team 1
telekinetic 1
tends 1
that 7
the 44
their 1
them 1
themselves 1
then 1
theodora 7
theodoras 1
there 1
these 1
they 2
this 2
though 1
throughout 1
time 1
to 18
too 1
touch 1
travels 1
tree 1
trying 1
two 1
uncertain 1
unexplained 1
unlike 1
unseen 2
vaguely 1
vance 1
violent 1
visitors 1
walk 1
walls 1
was 3
weekend 1
what 2
when 1
where 1
whether 2
which 4
while 1
who 4
whom 1
will 1
with 5
witnesses 1
woman 2
writing 2
writings 1
young 2
