24069511
/m/07kg380
/m/07kg380
Jerry Spinelli
2008-04-29

1st 1
a 4
about 1
after 1
allowed 1
also 1
being 1
best 1
birth 1
book 1
brings 1
brother 3
bt 2
but 1
by 1
car 1
career 1
chess 1
college 1
could 1
death 1
decides 1
die 1
down 3
end 1
experiences 1
famous 1
for 1
friend 2
go 2
going 1
gone 1
grade 1
grader 1
grow 1
happened 1
has 4
he 5
heaven 1
her 3
hill 2
him 1
his 4
house 1
impact 1
influenced 1
into 1
is 2
it 1
just 1
kids 1
learned 1
lovefrustrationand 1
match 1
name 1
ninth 1
not 1
of 2
on 2
one 1
plan 1
protons 1
reputation 1
retire 1
same 1
school 1
she 2
short 1
sister 2
skateboard 2
something 1
step 1
sure 1
terrible 1
that 1
the 5
then 1
thing 1
to 6
towards 1
tragedy 1
tremendous 2
twelve 1
up 1
very 1
was 1
went 1
which 1
who 1
wife 1
will 1
william 1
young 1
