20110871
/m/04yft7q
/m/04yft7q
Carolyn Keene
1988
1000 1
a 6
accident 1
all 1
almost 1
an 2
and 5
around 1
art 1
artist 1
as 1
at 3
barn 2
bartholomew 2
bat 2
be 1
beaulieu 1
because 1
bought 1
boyfriend 1
brian 2
by 2
cannot 1
celebration 1
challenge 1
club 1
college 1
concludes 1
costume 1
could 1
crucial 1
danielle 5
daughter 2
devereaux 1
dollars 1
dress 1
emerson 1
evening 1
evidence 1
except 1
face 1
famous 1
fancy 1
father 2
finds 1
for 5
forger 1
found 2
french 1
friend 1
friends 1
go 1
gras 2
hallow 1
have 2
he 5
her 3
him 1
his 7
house 1
hypothesizes 1
in 4
investigation 1
invited 1
is 9
it 4
late 1
later 2
leads 1
leave 1
left 1
like 2
looks 1
lucien 1
mansion 2
mardi 2
mariel 1
max 2
million 1
missing 1
model 1
money 1
mother 1
mr 3
mystery 2
nancy 3
ned 2
nickerson 1
night 1
of 4
on 1
or 1
out 1
own 1
painting 3
pay 1
perfect 1
pick 1
plan 1
plastic 1
pm 1
points 1
portrait 3
possession 1
prime 1
purposely 1
quarter 1
ransom 1
resemblance 1
resist 1
rival 1
sailboat 1
same 1
scarred 1
seaton 6
sees 1
she 3
shocked 1
shows 1
silver 1
since 1
so 1
spend 1
steal 1
stolen 1
stops 1
suitor 1
supposed 1
surgery 1
survived 1
suspect 1
that 6
the 24
their 1
they 2
thief 1
time 2
to 10
tyler 3
up 1
used 1
vacation 1
wanted 1
warren 1
was 4
way 1
wear 1
wearing 1
where 1
who 2
whose 1
wife 1
with 1
woman 2
would 1
yacht 1
