4183807
/m/0bnq_2
/m/0bnq_2
Gerald Basil Edwards
1981-03-16
{"/m/012jgz": "Autobiographical novel"}
160s 1
a 5
after 2
also 1
although 1
an 1
and 7
artist 1
as 1
autobiography 1
befriends 1
bequeathing 1
book 1
born 1
century 1
despite 1
did 1
dies 2
difficulties 1
dorset 1
dublin 1
early 1
ebenezer 3
episodes 1
few 1
fisherman 1
flings 1
for 2
fraught 1
full 1
girls 1
gold 1
greenhouse 1
grower 1
guernsey 3
happy 1
hardy 1
he 6
his 5
in 6
incident 1
is 3
island 2
james 1
jersey 1
jobbing 1
joyce 1
late 1
latter 2
le 1
left 1
life 4
lived 1
liza 1
local 1
married 1
microcosm 1
militia 1
most 1
moving 1
muratti 1
never 1
nineteenth 1
north 1
not 1
of 9
once 1
only 1
outside 1
page 1
part 1
pleinmont 1
pot 1
queripel 1
regiment 1
relationship 1
royal 1
served 1
smashed 1
some 1
states 1
tempestuous 1
the 14
though 1
to 6
travel 1
vale 1
was 2
watch 1
which 1
whole 1
with 3
work 1
world 1
young 1
