4904828
/m/0ctg22
/m/0ctg22
Joe Dever
1987
a 1
about 1
adventure 1
after 1
all 1
allies 1
an 2
and 1
are 2
attempt 1
banish 1
before 1
being 1
bring 1
can 1
daring 1
darklords 2
destroy 1
destruction 1
discovering 1
drakkarim 1
ends 1
evil 1
exciting 1
fallen 1
for 2
formulate 1
fortresscity 1
from 1
grim 1
hands 1
haste 1
have 1
his 1
in 2
into 1
is 1
it 1
kept 1
lone 3
lorestones 2
magnamund 1
make 1
means 1
more 1
must 2
nadziranim 2
of 2
once 1
plan 1
recover 2
remaining 1
rumored 1
searching 1
sorcerers 1
stones 1
that 2
the 11
their 1
them 2
threatens 1
three 1
time 1
to 4
torgar 1
twist 1
where 1
which 1
with 1
wolf 3
