534767
/m/02mky2
/m/02mky2
Tom Stoppard

a 9
accusations 1
action 2
actors 1
after 2
algernon 1
also 1
an 2
and 13
angry 1
are 3
art 1
as 5
at 2
author 1
becomes 1
being 2
bennett 1
biography 1
both 1
business 1
by 2
called 1
carr 9
cecily 1
character 1
characters 4
circe 1
comedic 1
communist 1
consul 1
consular 1
couched 1
counts 1
dada 1
deciding 1
devices 1
did 1
different 1
disagreement 1
disputants 1
dispute 1
distraction 1
drunken 1
during 1
earnest 3
english 3
episode 1
experiences 1
explore 1
expressing 1
extended 1
favour 1
feature 1
feelings 1
figures 1
first 2
for 1
found 1
founder 1
framework 1
from 3
gallagher 1
general 1
group 1
gwendolen 1
had 3
he 2
henry 2
her 2
himself 1
his 3
historical 1
husband 1
imagined 1
importance 1
important 1
in 11
include 1
including 1
influential 1
instead 1
interpreted 1
is 2
it 1
james 2
joyce 5
judge 1
late 1
later 1
led 1
legal 1
lenin 1
less 1
letter 1
likewise 1
limericks 1
living 1
manager 1
many 2
maze 1
memories 1
memory 1
mind 1
minor 1
mister 2
mixed 1
modernist 1
notable 1
obscene 1
of 13
official 1
on 1
oscar 1
other 2
parodied 1
parody 1
perceptions 1
percy 1
performance 1
person 1
personalities 1
play 7
players 1
portrayed 1
predictable 1
primarily 1
production 2
prominently 1
prone 1
puns 1
real 4
recalls 1
received 1
reminisces 1
revolution 1
revolutionary 1
role 1
roles 1
setting 1
settled 1
shared 1
shean 1
similarly 1
situations 2
slander 1
soldier 1
song 1
starring 1
stoppard 4
surprise 1
surrounding 1
switzerland 1
that 3
the 27
theatrical 1
these 2
this 1
three 1
through 1
time 2
to 3
travesties 2
tristan 1
two 2
tzara 1
ulysses 1
uses 2
vaudeville 1
versions 1
war 2
was 3
were 1
which 2
who 1
whom 1
widow 1
wilde 1
with 4
within 2
world 1
zrich 5
