2567031
/m/07ngrn
/m/07ngrn
Arthur Hailey

{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
30 1
a 11
about 1
accused 1
ainslie 2
ainsliecynthia 1
all 4
also 1
and 11
animal 4
are 3
around 1
arrest 1
as 2
at 4
attempted 1
avenger 1
barbaric 1
be 2
became 1
because 2
before 1
being 1
believe 1
book 2
breaks 1
but 2
by 6
calls 1
carefully 1
cases 1
cat 2
catholic 1
certain 1
cities 1
city 3
commissioner 3
complicated 1
confessed 1
confesses 1
copy 2
deep 1
derived 1
detective 3
did 2
discovers 1
do 1
done 3
else 1
ernstruby 1
eventually 1
except 1
executed 1
execution 1
facing 1
famous 1
feeling 1
find 1
finds 3
first 1
fit 1
for 2
freak 1
free 2
from 2
god 1
goes 1
had 1
has 1
he 15
him 4
himself 1
his 7
history 1
if 1
important 1
in 4
into 1
investigate 2
involved 2
is 9
it 1
killer 5
killing 2
killings 8
kills 1
leaves 1
left 2
liar 1
look 1
made 1
malcolm 7
man 1
manner 1
matter 1
mayor 2
miami 3
minutes 1
more 1
murder 2
murderer 1
murders 4
nicknamed 1
not 2
notices 1
novelist 1
now 1
of 14
one 1
other 1
out 1
pattern 2
people 2
police 2
previously 1
priest 1
priestly 1
refuses 1
religious 1
reputation 1
revelation 2
roaming 1
same 1
scenes 2
separate 1
sergeant 1
serial 3
situation 1
someone 1
start 1
starts 2
story 1
studies 2
such 1
suddenly 1
symbols 3
team 2
thanks 1
that 7
the 30
there 1
these 1
they 1
things 1
this 2
to 8
trained 1
training 1
two 1
unsolved 1
was 2
were 3
when 3
where 1
which 2
who 1
wife 3
