20108825
/m/04y9qll
/m/04y9qll
Thomas Bernhard
1978
{"/m/05hgj": "Novel"}
1 1
2 1
3 1
4 1
a 15
able 1
about 1
act 2
after 1
again 1
agent 1
all 1
always 1
an 3
and 11
annihilation 1
archetypal 1
arranging 1
arrival 1
arrived 1
as 9
asking 1
attached 1
austria 1
back 1
because 1
becoming 1
been 1
beginning 1
below 1
benefit 1
benighted 1
bernhard 1
bernhards 1
born 1
build 1
but 1
by 2
cement 1
central 1
character 1
characters 1
chosen 1
clearly 1
closing 2
comically 1
committed 1
companion 2
confession 1
corner 1
could 1
couple 1
covertly 1
day 1
death 1
definitive 1
describes 2
discarding 1
discussing 1
disquisitions 1
dumping 1
easily 1
engenders 1
engineer 2
established 1
estate 1
even 1
excerpt 1
existential 1
family 1
fascinates 1
finds 1
first 1
for 4
forest 2
frequent 1
friend 1
from 1
front 1
glimpse 1
goes 1
gradually 1
had 3
has 2
have 1
he 6
her 8
herself 2
himself 2
his 12
house 1
however 1
i 1
ideal 2
if 1
impulses 1
in 13
insinuating 1
intends 1
interminable 1
into 1
is 7
isolation 1
it 2
kill 1
knots 1
later 1
learn 1
left 1
life 1
literally 1
location 1
loneliness 1
making 1
mechanism 1
meetings 1
middle 1
moritz 3
motif 1
motivation 1
narration 1
narrative 1
narrator 8
nearby 2
never 1
new 1
not 2
novel 4
obsesses 1
of 12
on 2
once 1
one 2
only 1
opening 1
or 1
overtly 1
own 2
painful 1
partner 1
pattern 1
people 1
perceive 1
perceives 1
permeates 1
persian 5
persist 1
person 1
philosophical 1
philosophising 1
positive 1
preoccupation 1
prepares 1
pretext 1
problems 1
process 1
provoked 1
rants 1
reaction 1
reader 1
realistic 1
recognizes 2
recollects 1
redemption 1
refers 1
regenerating 3
remembers 1
replies 1
revelations 1
right 1
role 1
sacrificial 2
says 1
scientist 1
see 1
selfexposure 1
sentence 2
she 4
shiraz 1
signifying 1
similarly 1
simply 1
social 1
solitary 1
such 1
suicidal 1
suicide 7
suitable 1
surrogate 2
swiss 2
talking 1
that 6
the 33
these 1
they 1
thick 1
thinking 1
this 5
though 1
throwing 1
thus 1
time 1
to 7
topic 1
truck 1
unable 1
uncovering 1
undergoes 1
underline 1
universe 1
unravel 1
upper 1
utterly 2
very 1
victim 2
walking 1
walks 1
was 1
we 2
when 2
where 3
which 2
while 1
whilst 1
who 1
wife 1
will 2
with 3
woman 8
word 1
words 1
work 1
would 1
wounded 1
years 1
yes 2
young 1
