1014591
/m/03zbkf
/m/03zbkf
Stanisław Lem
1959
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 32
abandoned 1
above 1
act 2
activates 1
adjacent 1
advanced 3
after 3
again 1
against 1
alien 1
aliens 1
almost 2
also 1
although 3
an 9
and 29
another 2
antimatter 1
any 1
anyone 1
apparently 1
appears 1
are 4
area 1
around 1
as 7
assemble 2
assembles 1
astronomer 1
astronomy 1
at 1
atmosphere 1
attack 1
attempt 2
attempting 1
attempts 1
automated 1
back 1
based 1
be 2
beautiful 1
beauty 2
because 1
become 1
been 1
begin 1
begins 3
behave 1
behind 2
being 4
bitter 1
blast 2
blasting 1
bodies 1
bombarded 1
both 2
brainwashing 1
branch 1
brought 1
but 1
by 5
call 1
called 1
camp 1
can 2
captain 1
caught 1
chemist 1
choice 1
choosing 2
chose 1
civilization 3
close 1
come 2
comes 2
coming 1
computer 1
concentration 1
conducted 1
conflict 1
constant 1
contact 3
control 1
controlled 2
coordinator 1
cosmic 1
crash 3
crashed 1
craters 1
created 1
creature 1
creatures 1
crew 11
cyberneticist 1
cycle 1
damage 1
day 1
death 2
decides 1
defender 3
defense 1
defenses 1
deficiency 1
deformed 1
denied 1
denies 1
described 1
designed 2
destroy 1
destroyed 1
developed 1
dictatorship 1
die 1
dies 1
direct 1
discipline 1
discovering 1
discovers 1
disseminated 1
distance 2
doctor 1
dome 2
doublebodied 1
doubler 15
doublers 9
down 1
dressed 1
driven 1
dubelty 1
dubs 1
each 1
echelons 1
eden 3
effects 1
eliminated 1
emerges 1
empathize 1
encounters 1
engineer 1
enhance 1
entered 1
entering 1
enters 1
escaping 1
eventually 4
everyday 1
evidence 1
example 1
exhaust 1
existence 2
expedition 5
experiment 2
expert 1
explains 1
explore 3
explored 1
exploring 1
exposed 1
exposure 1
factories 1
factory 1
failed 1
far 1
fictitious 1
finally 1
find 4
first 4
fled 1
fleeing 1
flows 1
flyby 1
for 4
free 2
fringes 1
from 5
fully 1
further 2
gain 1
gassed 1
gather 1
genetic 1
genocide 1
glass 4
government 2
graves 1
greatly 1
group 3
groups 1
guards 1
had 2
half 2
has 5
have 3
having 1
he 1
help 1
hidden 1
higher 1
highly 2
himself 1
his 3
hitting 1
hole 2
hours 1
however 2
humans 2
hundreds 1
if 1
image 1
impending 1
impossible 1
in 10
indeterminate 1
indifferent 1
indistinct 1
individual 1
information 3
informationcontrolled 1
informing 1
inside 1
into 5
is 15
isolate 1
it 8
its 3
itself 1
jeep 3
joined 1
journey 1
killing 2
kind 2
know 1
knowledge 2
land 1
large 4
leading 1
learn 1
learns 2
leave 1
lem 1
life 1
lifetime 1
like 1
local 3
made 2
makes 1
managed 1
manipulated 1
massive 1
materials 1
mech 1
meeting 1
members 1
mental 1
mentioned 1
middle 1
miserably 1
mistake 1
molding 1
monsters 1
most 1
move 1
much 3
mutant 1
naked 2
name 1
nanotechnology 1
ndash 2
never 1
next 2
night 1
no 1
nothing 1
novel 1
now 1
nuclear 1
number 1
observing 1
of 34
off 1
often 1
on 2
once 3
one 3
opportunity 1
oppressive 1
or 1
original 2
orwellian 1
other 2
out 3
own 2
parties 1
perplexed 1
physicist 1
pilot 2
planet 2
planning 1
plans 1
polish 1
postulate 1
prepare 1
presence 1
preserved 1
prisoners 1
procrustics 2
produced 1
proves 1
pursue 1
quarantined 1
radiation 2
radioactivity 1
rather 1
rays 1
ready 1
reason 1
recall 1
reconnoitered 1
recovering 1
recycled 1
refuses 1
remaining 1
repair 2
repaired 2
resembling 1
resident 1
resulting 1
retractable 1
return 4
returning 2
returns 1
robotics 1
rulers 1
sadness 1
science 2
secretive 1
seeing 1
seem 1
seen 3
self 1
selfregulating 1
set 1
sets 1
setting 1
settlement 5
several 1
ship 12
shortly 1
showing 1
site 2
skeletons 1
small 1
so 1
society 7
soldier 1
some 3
soon 1
sort 1
source 1
southwest 1
space 1
speak 1
special 1
species 2
sphere 1
stampede 1
stand 1
starship 2
stay 2
strange 1
structures 1
struggle 1
studies 1
subjected 1
suddenly 1
suggest 1
survive 1
system 1
takes 1
tank 1
team 3
than 1
that 13
the 89
their 11
them 2
themselves 1
then 2
there 1
thereafter 1
these 2
they 19
this 3
through 3
throughout 1
thus 1
time 1
to 47
too 1
toplike 1
torsos 1
totally 1
translator 1
travel 1
traveling 1
turned 1
two 2
ultimately 1
uncommunicative 1
understanding 1
unsettling 1
until 1
unwittingly 1
upon 1
used 1
vehicle 2
vehicles 2
very 2
vessel 2
victims 1
victory 1
violet 1
wall 2
was 3
water 2
weapons 1
were 2
when 2
which 1
while 3
who 3
whole 1
whose 1
wilderness 1
will 1
with 9
within 2
without 1
world 1
wrecked 1
yet 1
