23825955
/m/06_vycp
/m/06_vycp
Sherwood Smith
2008-08
a 3
about 1
academy 2
accidents 1
across 1
after 1
all 3
and 8
are 4
as 4
assume 1
assumed 1
at 2
barons 1
be 2
becomes 1
beginning 1
but 1
can 1
challenges 1
change 1
civil 1
civilization 1
civilized 1
clear 1
closed 1
come 1
command 1
conflagration 1
continent 1
crown 1
different 1
discovers 1
drawing 1
duel 1
dukes 1
enemies 1
events 1
evidence 2
expansion 1
expected 1
experiences 1
field 1
fifteen 1
fifteenyearold 1
finds 1
for 2
foreigners 1
friends 1
friendship 1
galdran 1
going 2
grandiose 1
greater 1
had 1
has 2
have 2
he 4
heirs 1
hess 2
him 1
himself 1
his 4
history 1
in 8
increasingly 1
inexorably 1
interest 1
into 1
is 5
it 1
its 1
key 1
king 1
kingalso 1
kingdom 2
known 1
late 1
laughter 1
learning 1
levels 1
life 1
love 1
loyaltyand 1
makes 1
many 1
marloven 2
marlovens 1
marquis 1
marquises 1
military 1
moving 1
muchanticipated 1
name 1
names 1
nasty 1
no 3
not 2
of 3
off 1
on 2
one 2
only 1
or 4
out 1
outsiders 1
people 1
plans 1
pleasant 1
point 1
political 1
positionswhether 1
prequel 1
pronounce 1
ready 1
real 1
recently 2
remalna 1
remalnaexcept 1
renselaeus 1
sent 1
shevraeth 2
shevraethdiscovering 1
slightest 1
smart 1
smartest 1
social 1
suffered 1
surface 1
terror 1
than 1
that 3
the 15
there 2
they 2
theyre 1
this 2
throne 1
through 1
title 1
to 10
too 1
toward 1
turns 1
until 1
used 1
very 2
vidanric 2
violent 1
want 1
warwants 1
was 1
well 2
what 1
while 1
who 2
world 1
young 2
