2487738
/m/07hcbv
/m/07hcbv
Ruth Plumly Thompson
1938
{"/m/01hmnh": "Fantasy"}
a 12
able 1
absent 1
accompanied 1
actually 1
addressed 1
adversaries 1
affection 2
after 2
aggressive 1
aircraft 1
along 1
also 1
altitude 1
amby 1
an 3
and 34
appalled 1
are 3
army 2
arrivals 1
arrive 1
as 4
assembles 1
at 2
ate 1
attended 1
azarine 4
back 1
battles 1
baum 2
bear 1
behind 1
being 1
belt 3
bid 1
blowmen 2
blown 1
board 1
book 1
brown 1
bugbear 1
building 1
bustado 2
but 5
buttons 1
by 6
called 1
calls 1
can 1
captures 1
chaotic 1
chapter 1
characters 1
circle 1
city 4
claims 1
clutches 1
colony 1
combat 1
company 1
conquer 1
conquest 1
contains 1
control 2
counter 1
country 3
cowardly 1
craft 2
cramp 1
creatures 1
cushion 1
czarina 1
danger 1
dawn 1
day 1
dear 1
decides 2
deer 1
depressing 1
despite 1
different 1
dinner 3
domain 1
dorothy 2
eats 1
edge 2
egotistical 1
electric 1
elutherated 1
emerald 4
emits 1
ends 1
enduring 1
enjoying 1
enthusiastically 2
entomophagous 1
escape 1
escaped 1
even 1
eventually 1
existing 1
extravagant 1
eyes 1
faces 1
fall 1
famous 1
fast 2
feline 1
fierce 1
fills 1
find 1
first 1
flee 1
flight 1
flow 1
fly 1
for 6
forces 2
form 1
foursome 1
from 3
frustrated 1
gale 1
gets 1
gives 1
glassdomed 1
gleaming 1
glinda 4
great 1
green 3
group 1
guests 2
hair 2
half 2
has 5
have 1
he 7
headed 1
her 6
hide 1
him 1
himself 2
his 12
holds 2
home 1
hostage 1
hostages 1
hosted 1
hostility 1
however 1
impulsively 1
in 12
inaugural 1
including 1
indulges 1
influence 1
inhabitants 1
insect 1
insectlike 1
insects 1
inspect 1
into 4
introduction 1
invasion 2
invention 1
iridescent 1
is 10
it 2
jellia 7
kabebe 1
king 2
kitbag 1
land 2
lands 1
large 1
latter 1
leap 1
left 1
like 1
likes 1
lion 2
long 1
magic 3
magical 1
man 3
mdash 3
mean 1
means 1
meet 1
misuses 1
mollified 1
most 1
mountain 1
name 1
named 2
names 1
new 3
newest 1
newlycreated 1
nonsensical 1
obtain 1
octopuses 1
odd 1
of 22
off 3
omby 1
on 3
once 1
opens 1
opposition 1
or 1
other 1
overcome 1
oz 4
ozites 4
ozma 6
ozoplane 3
ozoplanes 1
ozpril 2
oztober 4
palace 1
panel 1
parts 1
party 2
personage 1
pickles 1
pile 1
pills 1
pilot 1
place 3
plane 2
possession 1
powerful 1
preparatory 1
present 1
princess 1
prisoner 1
protagonists 1
protectors 1
pun 1
puns 1
pursuit 1
quadling 1
queen 1
quickly 1
reach 1
reaches 1
rechristened 1
red 2
reminiscence 1
rescue 1
residents 1
resourceful 1
rest 1
resume 1
return 1
rightful 2
ruler 2
safe 1
save 1
scarecrow 2
search 2
second 1
sends 2
session 1
seven 1
seventh 1
shagomar 1
she 3
short 1
sights 1
silver 1
similar 1
simultaneously 1
sky 3
skyland 1
skyness 1
slams 1
slow 1
smooth 1
so 2
soldier 3
some 1
something 2
somewhat 1
sorceress 1
south 1
spikers 1
spin 1
spiral 1
squirrel 1
stag 1
starina 3
startled 1
story 1
strat 2
stratjesty 1
stratoovious 1
stratovania 2
stratovanian 1
stratovanians 1
strut 6
strutoovious 1
suddenly 1
tables 1
takes 2
talisman 1
talk 1
teach 1
tech 1
than 1
that 6
the 92
their 1
them 2
themselves 1
then 1
there 1
thick 1
this 3
thompson 2
though 2
threatened 1
thrown 1
tin 4
to 20
top 1
touchy 1
transporter 1
tries 2
tripleedged 1
try 1
turn 1
turns 1
twentynine 1
two 1
under 1
undiplomatically 1
united 1
unknown 2
up 3
upstanding 1
use 2
uses 1
usurper 2
vacation 1
villain 2
violent 1
wantowin 2
way 1
when 1
whiskers 2
who 1
wife 1
with 9
wizard 12
woodman 1
word 1
worse 1
yet 1
your 2
yowls 1
zag 1
zentomatic 1
zig 1
zooms 1
