3876969
/m/0b4m7n
/m/0b4m7n
Dav Pilkey
2006
2000 2
4 3
4000from 1
7 1
a 10
again 5
all 1
allowing 1
also 2
alternate 3
an 3
and 43
any 1
are 7
arrest 1
arrive 2
as 3
at 2
attacks 1
back 6
bank 1
be 3
beams 1
because 2
become 1
becomes 1
being 1
belongings 1
blunderpants 6
book 7
books 1
bought 1
boxer 1
boy 1
boys 1
briefly 1
bringing 1
but 7
by 3
can 2
cannot 1
captain 11
causes 2
changed 1
characters 1
chases 1
children 1
comes 1
comic 1
comprehend 1
construction 1
continuing 1
counterparts 2
crackers 6
crossing 1
day 1
decide 1
defeat 1
defeats 1
delaying 1
didnt 1
dimension 1
dinner 1
discover 1
does 2
drdiaper 1
drink 1
drunk 1
due 1
eat 1
effect 1
empty 1
end 3
ends 1
evil 14
ex 1
example 1
female 1
females 1
fighters 1
fighting 1
finally 1
find 2
finger 1
fire 1
fly 2
for 3
frankenbooger 1
from 5
fun 1
george 19
get 2
getting 1
giant 1
giantevil 1
girdle 1
go 3
goes 1
going 1
good 3
goosygrow 1
grandfather 1
grandparents 2
granny 1
great 1
greatgrandmother 1
guard 1
had 2
hand 1
harold 21
has 1
have 3
head 1
here 1
heroes 2
him 1
his 2
home 1
house 3
however 1
humor 1
hypnoring 1
hypnosis 1
hypnotized 1
immediately 1
in 1
instead 1
intending 1
into 7
is 11
it 3
jail 1
jennifer 1
juice 3
kidnapped 1
klax 1
known 2
krupp 7
last 2
learn 1
leave 1
lives 1
lost 1
mailman 1
males 1
mammals 1
meet 1
melvin 1
men 1
might 1
mistakenly 1
monster 1
mr 7
mrkrupp 1
name 1
nice 5
no 1
normal 2
nothing 2
now 2
of 12
officer 1
oh 1
on 6
once 2
only 2
opposite 4
or 1
other 1
out 1
over 1
overall 1
personal 1
place 1
police 2
poopypants 2
power 3
professor 2
rain 1
reach 1
real 2
rescue 1
rest 2
ring 1
robbed 1
rummage 1
saves 1
school 1
seems 1
sense 1
shrink 1
shrinking 1
shrinkypig 1
shrunk 1
shrunken 1
simple 1
snap 1
sneedly 1
states 3
storm 1
struggling 1
students 1
sulu 10
super 3
table 1
taken 1
that 7
the 44
their 6
them 7
themselves 1
there 3
they 7
things 1
think 1
third 1
this 3
through 1
ties 1
time 1
tinkletrousers 1
tippy 1
to 18
toilet 1
transform 2
transformed 1
tree 1
tricked 1
trixie 1
try 2
turbo 1
turn 2
turned 2
turns 1
two 1
underpants 5
universe 2
up 3
version 1
versions 1
villains 1
was 1
water 1
we 1
welcoming 1
when 2
where 1
which 1
while 2
who 3
whole 1
with 6
works 1
workscarl 1
world 4
worse 1
wrong 2
yelling 2
zorx 1
