21677591
/m/05mqy98
/m/05mqy98
Bruce Marshall
1947
14 1
a 2
after 2
aid 1
aides 1
also 2
amputated 1
and 3
angela 1
as 2
assigned 1
audrey 1
austria 2
author 1
authorities 1
auxilia 1
avoid 1
ballerina 1
barrymore 1
basis 1
become 1
being 1
billeted 1
british 2
by 2
citizens 1
colonel 1
contact 1
convent 1
country 1
danube 2
directed 1
displaced 2
division 2
duty 2
end 1
ethel 1
faith 1
film 1
first 1
forcing 1
george 1
had 1
hand 1
has 1
he 2
himself 1
his 3
home 1
hooky 1
ii 1
in 5
involved 1
is 6
janet 1
john 1
lack 1
lansbury 1
lawford 1
leigh 1
like 1
limb 1
major 1
many 1
maria 1
marshall 1
mcphimister 1
michael 1
military 1
moscow 1
mother 2
movie 1
nicobar 5
not 1
novel 2
of 9
people 1
persons 2
peter 1
pidgeon 1
plight 2
prefer 1
quail 1
red 2
reissued 1
released 1
religious 1
repatriate 1
return 2
returned 1
run 1
sees 1
sense 1
served 1
shaken 1
shortly 1
sidney 1
soviet 3
starring 1
superior 1
tested 1
the 20
their 1
to 9
trying 1
twingo 1
union 2
vienna 1
walter 1
war 1
was 3
who 1
whom 1
with 1
world 1
young 1
zone 1
