6535784
/m/0g9c6v
/m/0g9c6v
Sergey Lukyanenko
2002
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 7
accident 1
after 1
against 1
alien 1
alive 1
ancient 1
and 3
another 1
are 1
arms 1
as 1
asks 1
attracted 1
back 2
becoming 1
before 2
bring 1
by 1
can 2
changes 1
client 1
clue 1
connected 1
conspiracy 1
copies 1
daughter 2
desperately 1
die 1
dies 1
discovers 1
each 1
events 1
exists 1
find 1
finds 3
freak 1
full 1
going 1
great 1
have 1
he 5
her 3
him 2
himself 1
his 5
however 1
identical 1
in 5
into 1
investigation 1
is 2
it 2
keymasters 1
killed 1
last 1
leads 1
library 1
life 1
man 1
massive 1
middle 1
missing 1
of 3
office 1
on 2
one 3
only 1
other 2
perishes 1
planet 1
process 1
race 1
random 1
ruins 1
same 1
save 2
seemingly 1
several 1
she 2
short 1
soon 1
surprise 1
that 1
the 11
them 1
they 1
thousands 1
time 1
to 7
totally 1
tries 1
uncover 1
unrelated 1
walker 3
walks 1
wealthy 1
well 1
when 2
where 1
with 1
woman 2
world 1
worlds 1
years 1
