13252634
/m/03b_ds0
/m/03b_ds0
Tillie Olsen
1974
{"/m/05hgj": "Novel"}
a 17
able 1
about 2
across 1
acutely 1
after 4
against 1
alone 1
an 2
and 24
anna 9
apartment 1
approaches 1
are 2
arrival 1
as 3
at 3
attending 1
attributed 1
bangs 1
beats 1
becomes 3
bedridden 1
befriends 1
begin 1
begins 3
ben 1
bess 2
birth 1
books 1
boss 1
briefly 1
buys 1
by 3
caldwell 1
canning 1
carelessness 1
celebrate 1
celebration 1
children 3
city 2
coal 1
conscious 1
continues 1
control 1
dakota 2
days 3
death 1
debt 1
deranged 1
detached 1
develops 1
dies 1
disapproves 1
discovers 1
dispute 1
door 1
down 2
dreamy 1
drinks 1
dump 1
during 1
earns 1
east 1
education 1
employment 1
enough 1
enthusiastically 1
escape 1
evening 1
excluded 1
explicitly 1
explosion 1
falls 1
family 9
fantasizing 1
farm 3
farms 1
feed 1
fever 1
financially 1
fire 1
fireworks 1
firm 1
first 2
five 1
floor 1
following 1
follows 1
food 1
for 6
fourth 1
from 4
fruits 1
gender 1
gets 2
goes 1
have 1
he 4
healthy 1
heat 1
heavily 1
her 1
his 2
holbrook 2
holbrooks 4
home 1
horrors 1
ill 2
immediately 1
immobilized 1
implications 1
in 13
income 1
initially 1
instead 1
interest 1
into 1
involved 1
is 10
it 1
jar 1
jim 11
jims 1
job 2
july 1
land 1
laundry 1
learned 1
leave 1
leaves 2
lid 1
listens 1
little 1
longer 2
make 1
makes 1
man 1
march 1
marital 1
mazie 8
mcevoy 2
mine 2
miner 1
mineshaft 1
mining 2
miscarriage 1
missing 1
mobility 1
money 1
more 1
move 2
moves 1
narrative 1
near 1
nearly 1
nebraska 2
new 1
next 1
night 1
no 2
novel 2
of 9
old 1
omaha 1
on 3
one 1
optimistic 1
passes 1
pastoral 1
plans 1
political 1
pregnant 1
prepare 1
progresses 1
promptly 1
prospects 1
radio 1
reader 1
realizes 1
regains 1
remains 1
remove 1
residence 1
resolve 1
returning 1
returns 1
run 1
saved 1
scavenge 1
scene 1
school 1
sells 1
several 1
sewers 1
shaft 1
she 2
sheen 1
shortterm 1
singing 1
slaughterhouse 3
slum 1
small 1
smell 1
social 1
some 1
south 2
spring 2
storm 1
streets 1
suffers 1
supplement 1
support 1
take 2
takes 1
taking 1
ten 1
tenant 1
terminates 1
that 2
the 55
their 4
them 2
they 1
though 2
through 1
thrown 1
time 2
to 16
together 1
town 4
traveling 1
unable 1
up 1
variety 1
wagon 1
watchman 1
wave 1
wellfed 1
when 4
where 3
while 1
who 1
will 1
winter 3
with 3
work 1
working 1
works 1
wyoming 1
year 1
