11590463
/m/02rkmlz
/m/02rkmlz
Peter Robinson
2006-06
16 1
a 7
about 1
after 1
aging 1
alan 1
and 3
as 2
assigned 1
associated 1
bag 1
band 1
banks 2
been 2
body 1
brushed 1
brutally 1
but 1
by 1
case 1
chadwick 1
clean 1
common 1
concert 1
could 1
delve 1
detective 1
discover 1
disrespectful 1
exactly 1
feature 1
find 1
finds 1
first 1
for 2
freelance 1
hardheaded 1
has 3
hatters 3
have 2
he 3
hippies 1
hornets 1
huge 1
if 1
in 5
inadvertently 1
inspector 1
into 1
investigating 1
is 3
it 1
journalist 2
less 2
listening 1
longhaired 1
looks 1
mad 3
magazine 1
marijuana 1
mojo 1
murder 2
murdered 1
music 1
nest 1
not 2
now 1
of 4
on 1
or 1
out 1
outdoor 1
past 1
pastoral 1
present 1
psychedelic 1
pulsing 1
regard 1
rock 3
roll 1
second 1
she 1
sleeping 1
smoking 1
solve 1
somehow 1
sounds 1
stanley 1
stirred 1
straitlaced 1
superstars 1
that 1
the 15
they 1
this 1
time 1
to 5
tragedy 1
up 2
upandcoming 1
veteran 1
victim 1
volunteers 1
war 1
was 2
what 1
who 1
with 2
woman 1
working 1
world 1
wrapped 1
yorkshire 1
young 2
