87742
/m/0m1c0
/m/0m1c0
George Orwell
1939
{"/m/02xlf": "Fiction"}
a 18
about 1
accidentally 1
action 1
adored 1
adult 1
adventure 1
again 1
albania 1
all 1
almost 1
along 1
always 1
an 3
and 19
antifascist 1
any 1
appear 1
are 2
around 1
arrives 1
as 5
aspirations 1
at 2
attend 1
attended 1
away 1
back 2
bashan 1
be 1
become 3
becomes 1
been 2
bemused 1
biblical 1
binfield 2
bombs 1
book 3
bowling 10
boyhood 1
break 1
built 1
businessresulting 1
but 4
by 6
can 1
cant 1
carp 1
catch 1
chance 1
changed 2
changes 1
character 1
child 1
childhood 3
church 2
classics 1
club 1
collect 1
comfortable 1
communists 1
competition 1
concealed 1
concept 1
considerably 1
contacts 1
contained 1
contemporary 1
corporate 1
day 1
dead 1
decides 1
decline 1
depressed 1
devoid 1
disappointment 1
discovers 1
distant 1
do 1
down 1
dreams 1
dry 1
dump 1
dung 1
during 1
dwelling 1
easy 1
entertaining 1
establishment 1
estate 1
even 1
eventually 1
experienced 1
experiences 1
eyes 1
fails 1
false 1
family 1
father 1
fed 1
final 1
find 1
finding 1
finds 2
first 2
fish 2
fishing 1
folly 1
for 2
fortyfiveyearold 1
friend 1
from 5
george 1
getting 1
girlfriend 1
given 1
glories 1
go 3
gone 1
got 1
had 1
hangs 1
has 8
hate 1
haunts 1
have 2
he 22
heavily 1
helped 1
hidden 1
him 5
his 16
history 1
home 3
horrified 1
horse 1
horserace 1
how 1
huge 2
humdrum 1
impending 1
in 6
intended 1
is 7
it 3
job 1
journey 1
king 2
landed 1
lands 1
lane 1
left 1
life 2
locates 1
london 1
lower 2
lucky 1
make 1
makes 1
many 1
marching 1
marriage 1
marxist 1
material 1
meeting 2
memory 3
merchant 1
missed 1
money 2
more 1
much 1
near 1
nearby 1
never 1
new 1
newsposter 1
nostalgia 1
occasion 1
of 23
off 2
og 1
old 5
ome 1
on 6
once 2
one 2
only 1
opening 1
or 3
over 2
painful 2
particular 1
past 2
person 1
place 1
places 1
plans 1
pond 2
porteous 2
previously 1
progress 1
protagonist 1
provided 1
pub 1
qualities 1
ramblings 1
ravaged 1
ravages 1
real 1
realizes 1
recalls 2
recapture 1
receives 1
recognize 1
relates 1
remembers 1
reminders 1
repugnance 1
retired 1
return 1
reveals 1
revisit 1
river 1
rod 1
routine 1
rubbish 1
salesman 1
same 1
schoolmaster 1
secluded 1
seed 2
seeks 1
seem 1
seems 1
sees 1
sensitized 1
set 1
sets 1
she 3
shock 1
shop 1
shown 1
since 1
slow 1
small 1
smell 1
smothered 1
so 1
social 1
something 1
son 1
sound 1
speaker 1
stay 1
successful 1
sum 1
sunday 1
take 1
tea 1
teeth 1
thames 1
that 7
the 42
themes 1
therefore 1
these 1
thirty 1
this 3
thoughts 2
threat 1
throughout 1
time 1
to 19
town 1
traffic 1
trigger 1
trip 2
try 1
trying 1
unambitious 1
undertaking 1
unrecognisable 1
unrecognizable 1
up 1
use 1
used 1
usually 1
utterly 1
vicar 1
war 2
way 1
what 2
when 3
where 3
which 2
while 1
who 2
wife 2
with 6
won 1
wondering 1
work 2
world 1
written 1
years 2
you 1
younger 1
youth 1
zog 1
