7135586
/m/0h61kg
/m/0h61kg
William Steig
1982
{"/m/016475": "Picture book", "/m/0dwly": "Children's literature"}
a 14
about 2
act 1
again 1
agrees 1
also 1
although 1
and 10
anesthetic 3
animal 2
animals 3
anxiously 1
any 1
apart 1
as 4
assistant 1
at 1
attempt 1
awaits 1
back 2
bad 2
been 1
before 2
begs 1
book 1
business 1
but 4
by 1
chairs 1
claims 1
clearly 1
closes 1
come 2
comes 1
convinces 1
couldnt 2
crass 1
day 3
dayoff 1
days 1
de 15
decided 1
depending 1
desotos 1
different 1
disagree 1
disappointed 1
disgust 1
do 1
dr 5
drops 1
each 1
eat 6
eaten 1
eating 1
effects 2
ends 1
exclaims 1
expresses 2
extra 1
false 1
few 2
for 3
fortunately 1
fox 14
from 2
get 2
getting 1
give 1
glue 2
got 1
guiding 1
had 3
happier 1
has 1
having 1
he 6
held 1
help 1
her 3
him 3
his 12
home 1
hoped 1
hostile 1
hours 1
how 1
however 3
humans 1
husband 3
in 4
is 3
it 4
jaws 2
joins 1
just 2
kept 1
large 1
later 1
licking 1
likes 1
lips 1
little 1
lives 1
long 1
love 1
mice 3
mousedentist 1
mouth 2
mrs 4
much 2
needs 1
never 1
new 3
next 1
night 1
not 1
of 10
off 2
on 1
one 1
onto 1
open 1
or 1
originally 1
other 1
outfoxed 1
pain 3
part 1
patients 1
place 1
placement 1
plan 2
policy 1
possible 1
prepare 1
pretended 1
proceed 2
pulleys 1
put 1
realizing 1
refuse 1
refusing 1
relieved 1
reluctantly 1
remove 1
rid 1
says 1
secret 1
serves 1
she 1
size 1
so 2
some 1
someone 1
soto 9
sotos 6
special 2
spreads 1
stick 1
story 1
stuck 1
system 1
teeth 3
tells 1
than 1
that 7
the 37
their 2
them 3
then 1
they 5
thinking 1
tightly 1
to 18
together 2
told 1
tomorrow 1
tooth 6
toothache 1
trap 1
treat 3
treating 1
treatment 2
tricked 1
triumphant 1
trusted 1
under 1
unknowingly 1
up 1
use 1
uses 2
wait 1
was 2
went 1
were 2
when 1
which 1
while 1
who 6
wife 1
will 1
with 9
without 1
wore 1
work 3
world 1
would 1
