13833010
/m/03ckp73
/m/03ckp73
Tawny Taylor
2006
15 1
a 4
about 1
after 2
although 1
american 1
an 1
and 3
another 1
around 1
as 4
back 2
be 1
bed 1
before 2
bonnie 1
by 1
called 1
came 1
can 4
case 2
claire 2
come 1
contact 1
days 1
death 2
dies 1
discover 2
discovered 1
does 1
doesnt 1
earth 5
emergency 1
enjoy 1
every 1
faron 1
ghosts 1
given 1
had 1
halloween 1
happened 1
has 1
have 1
heavenly 1
help 1
her 3
him 1
hugely 1
husband 1
if 1
in 6
is 1
jake 1
killed 1
laid 1
live 1
matt 1
mortal 2
much 1
murdered 2
named 1
needed 1
night 1
nine 3
number 1
of 1
offer 1
on 1
order 1
person 1
phone 1
pleasures 1
preferred 1
purgatory 3
recall 1
reconnected 1
remember 1
returned 3
sent 1
sex 1
she 13
so 1
someone 1
soontobe 1
spirit 1
stuck 1
that 3
the 5
then 3
they 2
thugs 1
to 10
together 1
too 1
truth 1
two 2
waited 1
was 5
weiss 1
well 1
were 1
what 2
while 2
why 1
with 3
work 1
worker 1
years 2
