2748265
/m/080lpf
/m/080lpf
Patricia Cornwell
2005-10
a 2
academy 1
and 3
any 1
are 1
as 2
benton 1
case 1
charge 1
clues 1
cunning 1
dr 1
ever 1
faced 1
farinellito 1
florida 2
forensic 1
freelancing 1
from 1
has 1
have 1
her 1
hunting 1
in 2
kay 1
kept 1
lead 1
lucy 1
malevolent 1
marino 1
massachusetts 1
mind 1
national 1
now 2
of 1
one 1
psychological 1
scarpetta 2
secrets 1
shadows 1
she 1
snowbound 1
someone 1
steamy 1
stretches 1
suspect 1
takes 1
teampete 1
teasing 1
that 2
the 3
them 1
they 1
to 1
unnerving 1
until 1
wesley 1
whose 1
with 2
