5870824
/m/0fb0xg
/m/0fb0xg
Joseph Krumgold
1953
able 1
about 1
accepts 1
accompany 1
allow 1
allows 1
an 1
and 6
are 1
be 1
been 2
being 1
body 1
bother 1
brother 3
brothers 1
chavez 1
confesses 1
cristo 1
de 1
drafted 2
dream 1
dreamed 1
explains 1
extra 1
fatalistically 1
father 2
for 2
freely 1
fulfill 1
god 2
going 1
grandfather 1
granted 2
grudgingly 1
had 1
happy 1
hard 1
has 2
he 8
his 8
in 1
ironically 1
is 7
it 1
leave 1
likely 1
little 1
lives 1
manner 1
men 1
mexico 1
miguel 3
miserable 1
more 1
mountains 1
needs 1
new 1
not 2
of 4
older 2
only 1
petty 1
pray 1
prayed 1
prayers 1
praying 1
ready 1
realize 1
requests 1
resolve 1
rest 2
sangre 1
see 1
since 1
summer 1
take 1
that 3
the 9
their 1
them 1
this 1
though 1
to 9
trip 1
until 1
very 1
visiting 1
was 1
way 1
what 1
when 1
which 1
while 1
wish 1
with 3
work 2
world 1
