15894908
/m/03qf453
/m/03qf453
Sherman Alexie
2007
a 14
about 1
abuse 1
abuses 1
accidentally 1
adjusting 1
adopted 1
afford 1
after 5
against 1
alcohol 1
allow 1
also 1
although 1
amount 1
an 4
and 29
angered 1
angry 1
are 4
arnold 33
as 3
ashamed 1
at 3
attitude 1
avoid 1
basketball 1
be 1
beaten 1
because 2
before 1
begins 3
being 2
believed 1
besides 1
best 1
birth 1
bobby 1
book 2
born 2
brain 3
breaking 1
brightened 1
bruises 1
but 2
by 8
cerebrospinal 1
closer 1
cold 1
colliding 1
concluding 1
constantly 1
contrast 1
correspond 1
countryside 1
covered 1
cried 1
crowd 1
crush 2
damage 2
dance 1
day 1
dealt 1
decision 1
defeat 1
described 1
describes 1
despite 2
develop 1
developing 1
die 1
dog 1
dream 1
drink 1
drinking 1
driver 1
drunk 2
during 1
elbows 1
emphasized 1
end 1
ends 1
enjoy 1
eugene 2
even 1
event 1
excess 2
exdrunk 1
exhaustion 1
expensive 1
experiences 2
explanation 1
eyesight 1
face 2
faces 1
fact 2
families 1
family 1
father 4
feet 1
felt 1
fighting 1
fire 1
first 2
fluid 2
for 3
forced 1
forehead 1
former 1
forty 1
fortytwo 1
four 1
frequent 1
friend 4
friends 1
from 5
full 1
future 1
game 2
games 1
gave 1
geometry 1
gerald 1
gets 1
girl 1
give 1
given 1
globe 1
go 2
gordy 1
grandmother 1
guarding 1
hands 2
hardships 1
has 5
have 2
having 1
he 11
head 3
heat 1
heavy 1
her 1
high 3
him 11
himself 2
his 20
hits 1
holding 1
home 2
husband 1
in 11
incredibly 1
indian 1
initial 1
intense 1
into 1
is 18
it 2
its 1
kid 1
kids 1
knocks 1
lake 1
large 1
last 1
least 1
leave 1
left 1
life 1
like 1
lisp 1
lockerroom 1
maiden 1
majority 1
make 1
makes 1
making 2
many 2
mascot 1
matter 1
meeting 1
meets 1
mistreated 1
mobile 1
mother 3
mr 3
name 1
named 1
necessary 1
new 2
newlywed 1
nicknames 1
night 1
no 1
nose 1
not 1
noticeably 1
novel 2
of 12
old 1
older 1
on 8
only 2
open 1
opens 1
oscar 1
other 1
others 1
out 2
over 2
oversized 1
p 3
pay 1
penelope 3
physical 2
players 1
plays 1
point 1
points 1
poor 4
powwow 1
problems 3
protect 1
pulled 1
quarter 1
realizes 1
reardan 7
reconcile 1
regularly 1
relationship 2
remove 1
reservation 5
resolve 1
resulted 1
retard 1
returns 1
reveal 1
rez 1
rich 1
right 1
romance 1
rowdy 8
run 1
saddened 1
save 1
school 8
second 1
seeing 1
seizures 1
set 1
she 2
shoot 1
shot 1
sister 2
skinny 1
skull 1
so 1
some 2
someone 1
specifically 1
splitting 1
spokane 1
stays 1
still 1
stitches 1
story 1
strained 1
struck 1
student 1
students 1
stutters 1
subsequently 1
such 1
suffer 1
suffers 1
surgery 1
suspends 1
suspension 1
sustained 1
takes 1
talk 1
teacher 1
team 2
teeth 1
textbook 1
textbooks 2
than 1
that 11
the 40
their 5
them 1
these 2
they 3
thirty 1
this 4
throughout 1
throws 1
thus 2
to 31
together 1
tough 1
toughest 1
tragedieshis 1
transfer 1
transfers 1
treatment 1
tries 2
troubles 1
true 1
turtle 1
two 1
unable 1
unconscious 1
underwent 1
up 2
varsity 1
veterinary 1
violently 1
walking 1
wanted 1
was 2
water 1
week 1
wellpinit 3
when 3
where 1
which 2
while 1
white 2
win 1
wins 2
with 10
writer 1
written 1
year 1
years 2
you 1
