1496564
/m/055ynr
/m/055ynr
Athena Alexis
1993
{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10 1
a 25
about 6
accidentally 1
actions 1
affair 1
after 4
agent 1
agents 1
alex 1
alive 1
almost 1
also 2
america 1
an 6
and 31
angered 1
angry 1
any 1
apartment 1
are 2
around 1
arrested 1
as 3
at 6
attacks 1
attempting 1
avenue 1
baby 1
based 1
because 1
become 1
been 2
before 1
begins 1
behind 1
believed 1
believes 1
best 1
black 2
body 1
bribes 1
brutal 1
buries 1
but 5
by 2
capital 1
cares 1
caribbean 1
case 1
chakely 4
charge 1
charley 2
children 6
coffin 1
comments 1
company 1
confirms 1
confronts 1
connection 1
contemptuous 1
conversation 1
cornered 1
corpse 1
crimes 1
criminal 2
cross 19
daughter 1
day 1
dc 2
dead 1
defense 1
delaware 1
deliver 1
delivering 1
demanding 1
desire 1
despite 1
detail 1
devine 7
did 1
died 1
discovered 1
discovering 1
disney 1
disrupt 1
disturbed 1
door 2
dressed 1
driving 2
dunne 1
dunnes 1
effort 1
elderly 1
eleven 1
employee 1
empty 1
escape 1
escapes 1
eventually 1
everyday 1
everyone 1
exclusive 1
executed 1
explains 1
family 4
famous 1
farmhouse 2
fbi 4
feels 1
few 1
fight 1
find 3
first 1
flannagan 6
florida 1
flying 1
followed 2
following 1
for 4
forensic 1
found 1
from 3
further 1
gary 5
gentle 1
getaway 1
goes 1
going 1
goldberg 3
graham 2
grandmother 1
graves 1
guard 1
had 1
has 1
have 3
he 16
head 1
heating 1
held 1
her 4
him 6
hiring 1
his 13
holds 1
home 4
homicide 1
hostage 2
house 1
how 1
hunted 1
hypnotizes 1
idea 1
impersonates 1
imprisoned 1
in 9
infant 1
insanity 1
instead 1
institution 1
into 1
investigate 2
investigated 1
investigates 1
investigator 1
involvement 1
is 16
island 1
it 2
jezzie 4
john 1
kidnapped 1
kidnapping 4
kidnappings 1
kidnaps 1
kill 1
killed 1
killings 1
kills 2
knew 1
knows 2
last 1
lasts 1
later 5
learning 1
learns 2
leave 1
let 1
letter 1
life 2
lindbergh 1
living 1
locked 1
losing 1
lover 1
made 2
maggie 6
make 1
man 5
manages 1
masterminded 1
math 1
may 1
mcdonald 1
meanwhile 2
meets 3
mental 1
michael 4
mike 2
million 1
money 5
months 2
more 1
murder 1
murdered 1
murdering 1
murders 2
murphy 2
mutilated 1
named 1
neighborhood 1
never 1
next 1
no 1
not 1
noticed 1
observation 1
obsession 1
of 6
off 1
officers 1
old 2
on 7
ordered 1
orlando 1
other 1
out 2
particularly 1
partner 1
past 1
pawn 1
pennsylvania 1
people 2
persona 1
personality 1
pilot 1
plane 1
plea 1
police 1
prison 1
private 2
promises 1
prostitutes 2
protecting 1
psychologist 1
psychopath 1
public 1
pulled 1
put 1
quickly 1
ransom 3
realize 1
recalls 1
receive 1
recognized 1
recording 1
regret 1
removed 1
reporter 1
retrieving 1
returns 2
revealed 1
rich 1
roger 1
rose 5
same 1
sampson 5
saves 1
saving 1
scene 1
school 2
search 1
secret 2
seeing 1
seems 1
selling 1
sent 1
service 2
several 2
she 2
shoot 1
shoots 1
shortly 1
small 1
sociopath 1
some 2
someone 1
soneji 22
sonejimurphy 1
soon 1
south 1
specially 1
spend 1
split 1
suspects 1
systems 1
takes 3
taking 1
taunting 1
teacher 2
telegram 1
than 2
that 7
the 44
their 1
then 1
they 4
this 1
through 1
time 4
times 1
to 18
took 1
tortures 1
tree 1
trial 2
tv 1
two 4
until 1
unwilling 1
up 1
using 1
utility 1
vicious 1
walks 1
walt 1
was 2
washington 4
way 1
were 2
when 1
where 7
while 2
white 1
who 2
wife 1
will 1
wilmington 2
windshield 1
with 6
woman 1
wondering 1
works 1
world 2
wounding 1
writes 1
years 1
