1023048
/m/03_46h
/m/03_46h
Alexei Panshin
1968
2041 1
218 1
a 22
about 2
accompanies 1
act 1
activity 1
ad 1
addition 1
adolescents 2
adopted 1
adulthood 2
adults 1
adventures 1
after 4
age 1
alive 1
all 1
already 1
also 4
although 1
an 3
and 25
animals 1
another 1
apparent 1
approval 1
are 7
arrested 1
arrive 1
as 12
assembly 3
at 3
attempted 1
avoid 1
awareness 1
away 1
badly 1
base 1
be 4
beaten 1
because 1
been 1
before 2
being 2
best 1
beyond 1
birthday 1
birthers 1
birthersthey 1
blossoms 1
board 1
both 2
boy 1
breaking 1
bring 1
broaden 1
broadened 1
brutal 1
build 1
busy 1
but 2
by 7
call 1
can 1
cannot 2
captured 2
carriers 1
chairman 1
change 1
changed 1
children 3
chooses 2
claim 1
class 5
colonists 2
colony 4
companion 1
completed 1
condemn 1
confidence 1
considered 1
contribute 1
control 1
council 2
danger 1
dangers 1
daniel 1
daughter 1
day 1
days 1
debate 1
debates 1
dentremont 2
derogatory 1
destroy 1
destruction 1
device 2
disable 1
discarded 1
discipline 1
discovers 1
dispatched 1
dissidents 1
disturbed 1
do 1
doled 1
domestic 1
during 1
each 1
earth 2
eighttofive 1
en 1
encounters 1
enough 2
enslaving 1
ensure 1
errors 1
escapes 2
ethical 1
eugenics 1
eventually 1
every 1
exile 1
expense 1
experience 1
experiences 1
explains 1
faceless 1
fact 1
fairly 1
family 1
father 2
feeling 1
feelings 1
fellow 1
flashback 1
following 1
for 9
formal 1
fourteen 1
fourteenth 1
free 2
friendship 1
from 5
frontier 1
giant 1
gifted 1
gives 1
go 1
goods 1
grabbies 1
grainau 2
grandchild 1
grows 1
has 6
have 5
havero 2
having 1
headquarters 1
hears 1
her 18
herders 2
herding 1
heritage 1
herself 1
hide 1
high 1
highly 1
him 1
his 1
hope 2
horseback 1
house 1
however 3
humanity 1
humanoids 1
in 13
include 1
inevitably 1
initial 1
initiation 1
injuries 1
intelligent 1
into 4
is 13
itself 1
jailbreak 1
jimmy 10
job 1
joins 1
kidnapping 1
killed 1
killing 1
knowledge 1
known 1
kutsov 5
labor 1
laid 1
leadership 1
learned 1
learns 1
leave 1
leaves 1
life 3
like 2
living 1
losel 2
losels 2
love 1
maintain 1
makes 1
man 1
manual 1
many 1
margin 1
masse 1
may 1
men 1
mia 21
military 1
minimal 1
mission 1
month 2
months 1
moral 3
mortality 1
most 1
mudeaters 1
mutual 1
name 1
native 1
nearest 1
need 1
new 1
night 1
no 2
not 1
of 27
offers 1
official 1
old 2
on 13
one 2
only 1
other 2
out 3
over 1
overpopulation 1
own 4
part 1
participants 2
party 1
passage 3
past 1
penalty 1
people 3
perceives 1
planet 6
planetside 1
political 2
population 1
position 1
possibly 1
potential 1
pouring 1
practice 1
preparation 1
prepare 2
prevent 1
prisoner 1
produce 2
quarreled 1
quarters 1
rain 1
rate 1
rather 2
reaches 1
realize 1
recovering 1
reduced 1
reeducation 1
reference 1
reflection 1
refuses 1
regarded 1
regards 1
regular 1
repulsed 1
required 1
requiring 1
rescued 1
resentment 1
residents 1
result 1
retrieves 1
return 3
returns 1
riding 1
rigors 1
risks 1
rite 3
rivalry 1
robbed 1
rough 1
roundup 1
rule 1
runin 1
school 1
scoutship 2
second 1
series 1
set 1
settle 1
several 1
sex 1
she 16
ship 11
shipbound 1
ships 6
shipwide 1
shortly 1
signalling 2
significantly 1
simple 2
singlehanded 1
skilled 1
slavers 1
slaves 1
so 2
society 1
someday 1
sometimes 2
soon 2
spared 1
sparingly 1
spear 1
speech 1
spent 1
stages 1
stagnation 1
staying 1
still 1
strategy 2
studies 1
study 1
supplies 1
survival 4
survive 2
survived 2
take 1
team 1
technology 1
tells 1
tent 2
territory 1
than 2
that 14
the 59
their 6
theory 1
they 9
thirteenyearold 1
thirty 1
this 3
those 1
three 1
through 4
thus 1
tiger 1
time 1
tintera 3
tinterans 7
to 33
told 1
too 1
town 1
trading 1
train 1
treat 1
treats 1
trial 8
turning 1
turns 1
turtle 1
twelve 1
two 1
unable 1
under 1
undergo 1
understands 1
units 1
up 1
use 1
used 1
views 1
votes 1
what 1
whatever 1
when 3
where 1
which 2
while 2
who 4
wilderness 1
will 3
with 9
within 1
witness 1
woods 1
world 4
worlds 1
worst 1
year 1
years 1
