5959933
/m/0fgq4n
/m/0fgq4n
Beverly Cleary
1981
a 5
about 2
after 2
all 1
along 1
always 1
and 7
ape 2
as 2
at 1
baby 1
bad 1
be 2
been 1
beezus 1
being 1
best 1
better 1
biggest 1
bikes 1
boil 1
boiled 1
boy 1
bus 2
busy 1
but 2
by 1
can 1
cant 1
cedarhurst 1
challenge 1
changes 1
class 1
clearly 1
cracks 1
creativity 1
day 2
deciding 1
describe 1
doesnt 1
doing 1
egg 2
ends 2
eraser 1
even 1
every 2
family 1
feel 1
fellow 1
find 1
finds 1
for 1
forced 1
forgot 1
friends 1
full 1
games 1
get 1
gets 1
getting 2
goes 1
grade 1
graders 1
growing 1
happy 1
hard 1
has 1
have 1
head 2
help 1
her 13
his 1
home 1
homework 1
howie 1
if 1
in 6
is 5
isnt 1
it 1
jean 1
kids 1
leave 1
likes 1
loves 1
lunch 1
make 1
may 1
mother 2
mrs 2
neighborhood 1
new 1
not 1
now 1
nuisance 1
of 3
office 1
on 2
out 1
outside 1
overhears 1
part 2
play 1
primary 1
problem 1
quimby 1
ramona 6
raw 1
read 1
reading 1
reorganized 1
ride 2
rises 1
say 1
school 3
schools 1
secretary 1
she 10
showoff 1
silent 1
so 1
spoiled 1
steals 1
sure 1
sustained 1
take 1
teacher 1
that 3
the 12
then 1
there 1
things 1
third 2
though 1
throws 1
time 1
to 11
until 1
up 4
uses 1
ways 1
whaley 2
when 2
where 2
will 1
willa 1
with 3
work 2
worse 1
worst 1
yard 2
