22888014
/m/063yktd
/m/063yktd
Chris Greenhalgh
2002-07-01
{"/m/02xlf": "Fiction"}
113 1
2 1
5 1
a 3
affair 1
an 2
and 5
at 2
audience 1
ballets 1
beaux 1
becomes 1
been 1
begin 1
bel 2
both 1
bring 1
but 2
by 3
chanel 1
children 1
choreography 1
coco 4
composer 1
composition 1
compositions 1
consumption 1
couturire 1
creates 1
creativity 1
diaghilev 1
dinner 1
discordant 1
display 1
ernest 1
experience 1
family 1
finally 1
flee 1
following 1
forced 1
four 1
garches 1
has 2
her 2
him 1
his 2
hold 1
hosted 1
igor 2
igors 3
ill 1
impresario 1
in 1
invites 1
is 2
its 3
katerina 1
later 1
liberated 1
may 1
meets 1
mesmerized 1
music 1
new 1
nijinsky 1
no 1
occupants 1
of 5
on 1
paris 1
perfumer 1
power 1
premiere 1
primitive 1
respiro 2
revolution 1
rhythmic 1
rite 1
russes 1
russia 1
russian 1
scandalized 1
sergei 1
seven 1
soon 1
spring 1
stay 1
stravinskys 1
style 1
surge 1
takes 1
tension 1
the 5
to 3
unbearable 1
villa 1
while 1
wife 2
with 4
years 1
