12063698
/m/02vnlw4
/m/02vnlw4
Richard Grant
1985-03
a 4
across 1
adventures 1
after 1
all 1
an 1
and 5
apocalypse 1
are 3
as 2
be 1
books 1
but 1
cases 1
changes 2
chapters 1
characters 2
come 1
create 1
created 1
deal 1
dealing 1
did 1
different 2
drinks 1
earth 1
environmental 1
fantasy 1
for 1
from 2
futuristic 1
grant 1
great 1
have 1
he 1
heart 1
his 1
human 1
humanity 1
humans 2
in 6
is 1
it 1
kind 1
land 1
locations 1
major 1
many 1
map 1
may 2
modern 1
more 1
most 1
mostly 1
names 1
not 3
novel 1
novels 1
occurrence 1
of 5
or 1
out 1
own 1
people 1
place 2
resulting 1
rumors 1
same 1
some 2
songs 1
spring 1
still 1
stood 1
story 1
supposedly 1
takes 1
the 10
their 1
thirtyfive 1
this 1
three 1
through 1
travel 1
unlike 1
used 1
variety 1
which 1
with 1
world 2
