853869
/m/03hdsk
/m/03hdsk
Richard Hughes
1929
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1837 1
a 18
abandoned 1
abandoning 1
aboard 4
about 2
accident 1
accidentally 1
accompanied 1
after 3
against 1
alienated 1
all 1
also 1
an 3
and 31
animals 1
any 1
anything 1
apart 2
approaches 1
are 6
arranges 1
as 5
ashore 1
at 4
attempting 1
author 1
authorities 1
aware 1
back 2
base 1
basthornton 1
be 2
become 3
becomes 3
been 2
before 2
between 1
bites 1
board 1
boards 1
boat 1
book 1
breaks 1
bring 1
britain 1
british 2
brought 1
but 7
by 13
cabin 3
can 1
captain 16
captures 1
care 1
cargo 1
caused 1
ceremony 1
chief 1
children 18
chooses 1
claims 1
clorinda 2
clorindas 1
coexist 1
command 1
committed 1
communicate 1
completely 1
confined 1
contradictory 1
convince 1
cook 1
could 1
courtroom 1
cover 1
creole 1
crew 4
cries 1
crime 1
cuban 1
darkness 1
death 1
decide 1
decided 1
decides 1
deliberately 1
delighted 1
description 1
despite 1
destroys 1
details 1
died 1
dies 1
dinner 1
disclose 2
disguised 1
distorted 1
does 3
down 1
drunk 1
during 1
dutch 4
edward 2
else 2
emancipation 1
emily 15
ends 1
england 2
event 1
everyone 1
exactly 1
executed 1
experiences 1
explicit 1
extract 1
eye 1
fact 1
facts 1
falls 1
families 1
family 1
fernandez 1
few 1
fight 1
finally 2
first 2
flees 1
fond 2
fondness 1
for 7
forget 1
forgotten 1
free 1
fright 1
frightened 1
from 5
further 1
get 1
gives 1
god 1
goods 2
grows 1
half 1
hand 1
happened 2
happens 1
harry 1
has 4
have 4
having 1
he 8
heading 1
hears 1
her 9
herself 1
high 1
him 3
himself 1
hinted 1
his 4
home 4
hurricane 1
if 1
immediately 1
in 9
indifference 1
information 1
informing 1
injured 1
injury 1
instructs 1
into 2
is 15
island 1
it 4
jamaica 3
john 3
jonsen 7
jos 1
just 1
kept 1
knife 1
know 1
last 2
later 1
latter 1
laura 1
leave 2
leaving 1
left 1
leg 1
letter 1
lie 1
life 1
lion 1
london 1
look 1
lost 2
lover 1
loving 1
lucia 1
luxury 1
made 1
margaret 7
marpole 4
matecare 1
may 1
meanwhile 1
membersjos 1
memories 1
menace 1
merchant 2
mistake 1
months 1
moves 1
mr 1
mrs 1
murder 1
murdered 2
murderer 1
must 1
need 1
new 1
night 1
no 4
not 4
obvious 1
of 19
oldest 1
on 6
once 1
one 3
only 4
original 1
other 2
otto 3
out 1
outcome 1
overboard 1
own 1
parents 1
part 1
passengers 1
passing 1
past 1
performed 1
picked 1
pirate 7
pirates 10
plantation 1
playing 1
point 1
pounces 1
pregnant 1
pressure 1
pretend 1
price 1
promised 1
pursued 1
quickly 3
rachel 2
raised 1
ransacked 1
rather 1
reaches 1
really 1
refund 1
reintegrated 1
repeat 1
rescued 1
return 1
returns 1
rich 1
rolls 1
romantically 1
safe 1
sailing 1
sanity 2
santa 1
say 1
scared 1
scene 1
schoolmates 1
schooner 1
screams 1
seas 1
second 1
see 1
seeing 1
seem 1
seems 2
seize 1
seized 3
sell 1
sending 1
several 1
she 10
ship 11
ships 1
shoot 1
shore 1
shortly 1
should 1
siblings 1
similar 1
slaves 1
so 1
solicitor 1
some 3
soon 1
stabs 1
statement 1
steamer 3
steamers 1
stewardess 1
stop 1
story 1
suffers 1
take 2
taken 1
takes 1
technological 1
tell 2
tells 1
terrified 1
testify 1
than 1
that 9
the 89
their 7
them 10
then 3
they 6
thinking 1
this 2
thornton 1
though 1
threatening 1
throw 1
tied 1
tiger 1
time 2
times 1
tired 1
to 32
told 1
towards 1
transfer 1
transformation 1
transporting 1
traumatic 1
treat 1
treated 1
treatment 1
trial 2
tries 1
truth 2
two 1
unable 1
unaffected 1
under 3
unknowingly 1
unspecified 1
unsuccessfully 2
up 2
veiled 1
very 1
vessel 3
view 1
warehouse 1
watch 1
watched 1
what 2
when 2
where 1
while 1
who 4
wild 1
will 1
with 6
without 1
witnesses 1
woman 1
writes 1
written 1
younger 1
