4402378
/m/0c09_g
/m/0c09_g
Tami Hoag

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
accident 2
affairs 1
an 2
and 8
andy 1
another 1
apparent 1
are 1
as 1
bedroom 1
begin 1
brass 1
buried 1
but 1
call 1
careers 1
case 2
connection 1
convinced 1
cop 1
cover 1
days 1
dead 2
detectives 1
dig 1
erotic 1
exploit 1
facing 1
fallon 2
few 1
found 2
hanging 1
his 1
in 1
internal 1
investigation 1
iron 2
is 2
isnt 1
it 3
keep 1
killer 1
kovac 3
later 1
legend 1
line 1
liska 2
listening 1
mike 2
minneapolis 1
mirror 1
move 1
murder 1
nikki 1
nude 1
of 3
old 1
on 3
or 1
own 1
past 1
police 1
printed 1
put 1
sam 1
secrets 1
son 1
sorry 1
start 1
stop 1
suicide 2
the 6
their 2
they 2
to 5
told 1
toughest 1
twenty 1
two 1
uncover 1
ups 1
wants 1
was 1
when 1
who 1
with 1
word 1
year 1
