5364408
/m/0dhjpp
/m/0dhjpp
Ian Rankin
1991
a 8
able 1
above 1
addict 1
after 1
all 1
allegations 1
an 2
and 9
are 2
arrest 1
as 2
asked 1
began 1
begins 1
between 1
body 2
book 1
boxing 1
bribing 1
bruises 1
burneddown 1
but 2
by 1
candles 1
case 3
categorise 1
circumstances 1
club 1
colleagues 1
covering 1
crosslike 1
day 1
dead 3
death 3
deaths 1
demoted 1
detective 1
die 1
disgust 1
drug 1
edinburgh 1
emerges 1
every 1
everyone 1
face 1
facts 1
false 1
finds 2
fivepointed 1
floor 1
found 2
full 1
he 1
heard 1
heroin 1
hid 1
hide 2
high 1
highlyconnected 1
his 5
hyde 2
illegal 1
in 6
inclined 1
inquiry 1
inspector 1
investigate 2
investigation 2
involved 1
is 2
it 3
john 1
judges 1
junkie 1
knew 1
laid 1
last 1
lawyers 2
like 1
london 1
looks 1
male 1
man 3
members 2
more 1
moved 1
murder 1
mysterious 1
named 1
of 9
officers 1
on 3
out 1
outrage 1
overdosed 1
owner 1
package 1
painted 1
parliament 1
part 1
parts 1
people 1
perturbed 1
photographer 1
photos 1
police 2
powersthatbe 1
prevent 1
prisoners 1
private 1
profile 1
prostitutes 1
questions 1
rankin 1
reallife 1
rebus 5
room 1
routine 1
scandal 1
sensitive 1
seriously 1
several 1
shortly 1
similar 1
society 1
some 5
specialist 1
squat 1
star 1
surprise 1
suspicious 1
takes 1
terrifying 1
that 2
the 17
themselves 1
there 1
this 1
to 9
took 1
tracy 1
true 1
two 2
unusual 1
up 1
wall 1
was 2
watch 1
were 2
where 1
which 1
who 2
with 1
woman 1
words 1
young 1
