6829682
/m/0grf4l
/m/0grf4l
Christopher Moore
2007-01-16
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/09kqc": "Humour"}
a 1
after 1
although 1
and 2
at 1
away 1
be 1
beginning 1
bloodsucking 1
boyfriend 1
continues 1
could 1
despite 2
did 1
directly 1
discover 1
efforts 1
eliminate 1
explains 1
fiends 1
forever 1
francisco 1
from 1
has 2
her 2
him 2
ie 1
in 1
incidents 1
is 1
it 1
jody 2
made 1
maintain 1
mature 1
minted 1
move 1
newly 1
novel 2
of 5
one 1
others 1
police 1
previous 2
promise 1
relationship 1
remained 1
san 1
sequel 1
she 2
shocked 1
so 1
story 1
struggle 1
suck 1
suckers 1
survive 1
that 3
the 10
their 1
them 1
they 2
title 1
to 6
together 1
tommy 1
turned 1
vampire 1
vampirehence 1
you 1
