9602972
/m/02plhml
/m/02plhml
Isaac Asimov
1968-05
a 5
accidentally 1
after 1
and 3
arguments 1
at 1
beneath 1
built 1
by 2
carried 1
computer 1
computercontrolled 1
computerized 1
computers 1
conditioned 1
could 1
crime 1
damage 1
damaging 1
defence 1
disastrous 1
earth 1
effect 1
end 1
environment 1
equipment 1
exile 2
finds 1
guilty 1
have 1
he 2
in 1
is 6
it 1
jenkins 2
laws 1
lives 1
major 1
man 1
moon 1
named 1
of 5
on 3
only 1
out 1
permanent 1
place 1
potentially 1
programmed 1
prosecution 1
put 1
revealed 1
sentenced 1
society 3
story 1
surface 2
system 1
that 3
the 11
to 1
totally 2
trial 2
underground 1
which 2
with 2
