2838055
/m/085ytd
/m/085ytd
Noël Coward


1 3
11 1
125 1
126 2
13 1
131 2
132 1
136 1
138 1
17 1
2 3
3 3
a 19
abdication 1
about 2
accident 1
accord 1
advice 1
affair 1
after 4
again 1
against 1
aged 1
agreement 1
alive 1
all 1
almost 1
alone 4
also 1
amiably 1
an 3
and 39
another 1
anxiously 1
are 4
army 2
arrive 1
as 5
astray 1
at 4
averting 1
avoid 1
awkward 1
baby 1
backing 1
baffles 1
be 2
become 1
bed 1
been 4
being 1
between 2
bicker 2
bid 1
billy 5
bitterly 1
bob 7
boy 1
britannia 1
british 1
broadcast 1
bus 1
but 1
by 5
called 1
calls 1
capitalism 1
carrying 1
celebrate 1
ceremony 1
chamberlain 1
chat 1
children 1
christmas 1
clapham 1
clothes 1
colleague 1
comes 1
comfortably 1
company 1
complains 1
conductor 1
confronts 1
connected 1
convivial 1
country 2
day 1
days 1
december 2
delighted 1
deserves 1
dinner 2
discuss 2
disowns 1
door 1
downstairs 1
drinks 1
driver 1
each 2
edward 1
eighteen 1
empty 1
encouraged 1
encourages 1
enter 2
enters 3
ethel 12
evening 1
exchange 1
exking 1
expresses 1
fail 1
false 1
family 5
few 1
flashy 1
flint 2
for 4
forward 1
fracas 1
france 1
frank 20
friend 2
from 3
furniture 1
future 1
general 2
gibbons 1
girl 1
gives 1
good 3
goodbye 1
grandchild 1
grownups 1
had 2
has 6
hates 1
have 5
having 2
he 9
her 6
him 8
himself 1
his 4
home 1
hopes 1
house 2
household 2
husband 1
i 1
idealistic 1
in 12
indeed 1
indulges 1
injured 1
injustice 1
intelligent 1
interrupted 1
into 3
intransigence 1
introduces 1
is 15
it 5
june 2
just 1
killed 1
latter 1
leading 1
leave 4
leaves 3
leaving 1
left 4
letter 3
life 2
listening 1
london 2
long 1
longer 1
look 1
love 1
lover 1
loving 1
make 1
man 1
mantelpiece 1
married 2
may 2
means 1
member 1
members 1
menton 1
middleaged 1
midnight 1
mitchell 2
monologue 1
mother 1
move 1
moved 1
moving 2
mrs 2
munich 2
neighbour 1
neville 1
new 2
news 2
next 1
nextdoor 1
nicelooking 1
night 1
no 1
noise 1
nondescriptlooking 1
not 2
november 1
now 3
october 1
of 17
off 2
old 1
older 1
on 3
open 1
opposed 1
other 2
out 3
partly 2
paternal 1
people 1
philosophically 1
phyl 1
phyllis 1
pleasant 1
pleasure 2
preaching 1
prepare 1
prettier 1
prevarication 1
puts 1
queenie 13
received 1
reconciliation 1
reg 11
regimental 1
relief 1
reminisce 2
respect 1
retire 1
retired 1
return 1
returned 1
road 2
room 2
rule 1
run 2
rushes 1
sam 6
say 1
saying 1
says 1
scene 10
see 1
seen 1
september 1
service 1
she 5
shocked 1
short 1
singing 2
sister 1
slightly 1
so 1
socialist 1
some 2
son 1
south 1
spot 1
stranded 1
street 1
strike 2
strikebreaking 2
strikers 1
suburban 2
successful 1
suitcase 1
supper 1
survived 1
sycamore 1
sylvia 3
talks 1
tedium 1
tells 1
terms 1
that 6
the 37
their 5
them 2
there 2
these 1
they 5
thinks 1
throws 1
time 2
tiptoes 1
to 19
together 2
top 1
traditionalist 1
trifle 1
turns 1
twenty 1
two 1
unhappily 1
vi 3
views 1
viii 1
visits 1
voices 1
volunteer 1
war 2
wedding 2
what 1
wife 4
with 7
woken 1
women 3
world 2
would 1
year 1
young 2
younger 1
youngest 1
