6046538
/m/0fmc8x
/m/0fmc8x

1997-10-02
{"/m/0lsxr": "Crime Fiction"}
13 1
a 2
abusive 1
age 1
an 3
and 5
anxious 1
at 1
been 1
bobbie 3
book 1
but 1
carries 1
children 1
crimes 1
cringe 1
dependence 1
details 1
drugs 1
emphasizes 1
escalating 1
evertightening 1
following 1
for 1
frightening 1
from 1
girlfriend 1
graphic 1
gun 1
harshness 1
has 1
he 3
hell 1
highlights 1
highs 1
his 3
home 1
immediacy 1
in 1
include 1
increasing 1
instead 1
is 3
leaves 1
little 1
live 1
make 1
murder 1
normal 1
not 1
of 1
older 1
on 2
parents 1
people 1
plot 1
pointless 1
protect 1
raised 1
read 1
realism 1
reality 1
some 1
spiral 1
story 1
takes 1
that 1
the 4
their 1
there 1
they 1
thinking 1
this 1
to 2
until 1
violence 1
violent 1
was 1
where 1
which 2
will 1
with 1
written 1
year 1
youth 1
