5754938
/m/0f2xrj
/m/0f2xrj
Barbara Mertz
2003
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
11 1
a 11
abuse 1
accidents 1
addition 1
adopted 1
adoptive 1
after 1
along 1
also 2
amelia 3
an 1
and 10
any 1
apprehend 1
arab 1
armed 1
arrives 2
as 6
associate 1
at 2
attacker 1
attentions 1
badly 1
be 3
been 1
before 1
befriend 1
belonging 1
bertha 2
bertie 2
boat 1
book 1
boy 1
brother 1
but 1
by 7
cairo 1
captured 1
chase 1
children 1
coincide 1
comes 2
companion 2
confused 1
conservator 2
crashes 1
criminal 1
cyrus 3
dahabeeyah 1
dantiquits 1
daoud 1
daughter 2
david 1
death 1
desert 1
develops 1
directed 1
disappear 1
disguised 1
dislike 1
dogged 1
downriver 1
drugged 1
during 1
efforts 1
elder 1
elderly 1
emerson 8
emersons 5
escapes 1
evelyn 1
events 2
exception 1
fail 1
fallen 1
family 2
father 1
final 1
fishermen 1
fitzroyce 3
fitzroyces 1
for 4
found 2
franois 1
from 2
gang 1
girl 1
god 1
goddess 1
grandmother 1
had 1
halfsister 1
hard 1
has 1
hathor 1
having 1
he 2
head 1
held 1
helps 1
her 8
hired 1
his 5
husband 1
impetuously 1
implicated 1
imported 1
in 5
including 1
injured 1
inspect 1
intent 1
is 12
items 1
just 1
justin 3
later 2
lia 1
loyalties 1
malady 1
maryam 6
meanwhile 2
meet 1
mental 1
mistakes 1
most 1
mother 1
motorcar 1
mrs 2
mysterious 2
mystery 1
nearfatal 1
nefret 3
night 1
not 1
objects 1
of 10
old 1
on 4
opens 1
other 1
out 1
packing 1
passing 1
person 1
physical 1
picked 1
plot 1
plus 1
possession 1
pranks 1
previous 1
prisoner 2
quickly 1
racing 1
rameses 1
ramses 1
ranging 1
reappears 1
reassures 1
rebuild 1
recommendation 1
relationship 1
removed 1
representative 1
rescue 2
rescuing 1
responsible 1
result 1
revealed 1
ruins 1
same 1
scene 2
season 1
seem 1
selim 2
series 2
servants 1
service 2
sethos 3
several 1
she 1
shows 1
skeleton 1
small 1
sometimes 1
son 2
stealing 1
strange 2
take 1
taken 1
targets 1
teenage 1
teeth 1
temple 1
temporarily 1
that 1
the 40
their 3
them 1
these 2
through 2
times 1
to 16
together 1
transport 1
travelling 1
treasure 2
treasures 1
tries 1
true 1
turns 1
unlike 1
up 2
vandergelt 1
vandergelts 1
visit 2
walter 2
way 1
were 1
wheelnuts 1
when 3
who 5
wife 1
window 1
with 8
without 1
wives 1
woman 2
work 1
young 1
