11272431
/m/02r5w34
/m/02r5w34
Robert Daborne


a 2
accept 1
after 1
also 1
an 1
and 1
antimuslim 1
apprehend 1
at 1
audience 1
beautiful 1
benwash 1
by 1
captain 1
complicated 1
conforms 1
contrasted 1
conversion 1
converts 1
daborne 1
dansiker 2
delivers 1
die 1
dies 1
dramatic 1
dumbshow 2
eleven 1
end 1
fallen 1
french 1
has 1
he 4
himmdashuntil 1
in 6
is 2
islam 2
jew 1
large 1
leap 1
license 1
love 1
marry 1
merchants 1
of 5
on 1
order 1
original 1
other 1
pardon 1
part 1
pirate 1
play 4
playmdashthough 1
portrayed 1
prejudices 1
rant 1
real 1
reform 1
reluctance 1
renegade 1
repentance 1
returns 1
robbed 1
shown 1
simon 1
since 1
that 2
the 14
this 1
to 7
tunis 1
turkish 1
unrepentant 1
voada 1
ward 4
was 2
whom 1
with 2
woman 1
would 1
written 1
years 1
