8423000
/m/0272x8s
/m/0272x8s
Dion Boucicault

a 9
about 1
after 1
all 1
also 1
amnesty 1
an 2
and 3
are 1
area 1
arranged 1
arrest 1
arrested 1
arte 2
as 1
at 1
attitudes 1
australia 1
becomes 1
betray 2
betrayal 1
brother 1
but 1
cannot 1
captain 2
claire 1
clear 1
cliff 1
cliffhanger 1
comic 2
conn 1
conspires 1
country 1
couples 1
criminal 1
deal 1
decide 1
disguised 1
down 2
duff 2
ends 1
english 1
errant 1
escapes 1
escaping 1
falls 1
fenian 2
fenians 2
ffolliot 1
ffolliott 1
fiance 1
fish 1
force 1
from 1
fugitive 1
general 1
gentleman 1
great 1
harvey 2
has 1
he 2
help 2
her 1
him 2
himself 1
however 1
hunt 1
in 3
informed 1
informer 1
innocent 1
intent 1
into 2
ireland 2
irish 2
is 7
it 1
kinchela 2
local 1
love 1
marriage 1
marry 1
melodramatic 1
molineaux 2
no 1
not 1
of 5
off 1
oneil 1
onset 1
or 2
out 1
person 1
play 2
pledging 1
poacher 1
police 2
protect 1
provide 1
provides 1
rather 1
receive 1
relief 2
returned 1
robert 5
roguish 1
rural 1
seachrna 1
shaughraun 1
she 1
sister 1
situations 1
soldier 1
soon 1
squire 1
stage 1
such 1
that 2
the 11
then 1
thing 1
to 8
tracking 1
transportation 1
tricked 1
tries 1
various 1
wanderer 1
was 2
water 1
we 1
well 1
whether 1
who 6
whose 1
with 3
