10254163
/m/02q6lbv
/m/02q6lbv
Enid Blyton
1943
8 1
a 10
about 1
all 1
allow 1
and 11
anne 1
are 2
around 1
as 4
ask 1
asks 1
at 1
back 3
because 1
being 1
but 2
came 1
can 1
catch 1
children 4
christmas 1
cleaning 1
come 1
cottage 2
cousins 2
covering 1
cubbyholes 1
cupboard 3
day 1
dick 2
didnt 1
dogs 1
door 1
downstairs 1
due 1
during 2
east 2
eight 1
experiments 1
facing 2
false 2
farmhouse 5
find 1
finds 3
floor 2
follow 1
for 1
four 3
friends 1
front 1
george 7
get 1
goes 2
guests 2
has 1
have 1
he 5
heard 1
her 4
hidden 1
his 1
hole 1
holidays 3
if 1
illnesses 1
in 9
instructions 2
into 1
investigate 1
is 4
it 7
julian 1
key 1
kirrin 5
latin 2
lead 1
leads 1
like 1
made 1
missed 1
mr 5
mrs 2
must 1
night 1
noise 1
notes 1
of 3
off 1
old 1
on 6
one 1
open 1
order 1
outside 1
owners 1
panel 2
panels 2
paper 2
piece 1
place 1
planning 1
quentin 2
reads 1
realise 1
result 1
return 1
roland 5
room 3
rug 1
sanders 2
say 1
school 1
searching 1
secret 2
see 1
she 3
show 3
sleep 1
some 2
something 1
somewhere 1
standing 1
staying 2
stealing 1
stone 1
study 3
suspicious 1
take 1
tells 3
that 3
the 30
them 2
themselves 1
then 1
they 3
timmy 2
to 12
tunnel 1
tutor 1
two 1
uncle 2
under 1
up 1
upstairs 1
very 1
visit 1
wall 1
was 1
what 1
when 2
which 1
with 8
wooden 1
work 1
written 1
