3516360
/m/09hv9c
/m/09hv9c
Kenneth Bulmer
1972
{"/m/07ps83": "Sword and planet", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
able 1
agency 1
agent 1
aid 1
all 1
among 4
an 8
and 7
another 1
apparently 4
are 2
as 2
at 1
back 2
banished 1
bather 1
becomes 1
been 1
beings 1
benefits 1
benevolent 1
brought 1
but 1
capriciously 1
city 2
conferred 1
confers 1
consequence 1
contact 1
continent 3
cures 1
customs 1
decision 1
defying 1
delia 2
despite 1
devoted 1
dig 1
distasteful 1
done 1
dray 1
during 1
earth 2
empire 1
ends 1
english 1
equivalent 1
even 2
extended 1
falls 1
features 1
for 2
forbidden 1
fountain 1
from 1
further 1
gah 1
godlike 1
gor 1
grace 1
greatly 1
group 1
handicap 1
has 1
he 8
healing 1
heals 1
help 1
hemisphere 1
her 4
hidden 1
him 1
his 4
hosts 1
human 1
humanity 1
immersion 1
important 1
improving 1
in 7
include 1
injured 1
intelligent 1
into 2
introduced 1
is 8
island 1
john 1
kregen 5
later 1
lifespan 1
locales 1
locations 1
lord 1
lords 2
lot 1
made 1
manages 1
many 1
miraculous 2
more 1
motivations 1
mysterious 2
navy 1
nelson 1
norman 1
northern 1
not 1
novel 2
obvious 1
of 17
offend 1
offhand 1
on 4
opposite 1
opposition 1
or 1
pawn 1
plains 1
planet 3
pool 2
position 1
power 1
prescot 4
princess 1
reference 1
relationship 1
renew 1
returned 2
rises 1
sailor 1
same 1
savanti 5
schemes 1
secret 1
segesthes 1
sent 1
series 2
serve 1
society 2
sojourn 1
species 1
star 2
state 1
story 1
supplicant 1
supplying 1
sword 1
takes 1
task 1
teleportation 1
the 26
their 2
them 1
there 1
this 2
through 1
thrown 1
thrust 1
to 16
trained 1
unknown 1
usually 1
vallia 1
various 1
whatever 1
when 1
which 1
who 1
whose 2
willynilly 1
with 2
wounds 1
youth 1
zenicce 1
