30339271
/m/0g5s9jk
/m/0g5s9jk
Anaïs Nin
1995
{"/m/016chh": "Memoir", "/m/02gsv": "Personal journal"}
a 1
affair 1
and 5
back 1
begins 1
both 1
but 1
continues 2
dependent 1
eventually 1
feels 1
finds 1
follow 1
from 1
gives 1
gonzalo 1
guiler 1
henry 2
her 4
hugh 1
irresponsible 1
it 1
literary 1
love 1
marriage 1
miller 1
mor 1
new 1
on 1
otto 1
over 1
paris 1
parker 1
passionate 1
peruvian 1
practicing 1
psychoanalysis 1
rank 1
relationship 1
returns 1
romantic 1
sexual 1
she 5
take 1
the 1
these 1
to 3
up 1
very 1
where 1
wildly 1
win 1
with 3
york 1
