2315955
/m/0737ps
/m/0737ps
Alan Bennett

100175 1
180s 1
a 5
academic 1
action 1
ambitiously 1
an 1
and 5
author 1
based 1
boy 1
boys 1
but 1
cambridge 1
character 1
contrasting 1
cutlers 1
cynical 1
delights 1
discovered 1
early 1
eccentric 1
emerge 1
england 1
entrance 1
examinations 1
fictional 1
follows 1
fondling 1
for 2
frank 1
grammar 2
group 1
guidance 1
headmaster 1
hector 4
hired 1
history 1
homosexual 1
in 4
inclinations 1
introduce 1
irwin 3
is 2
its 1
knowledge 1
latent 1
later 1
league 1
lintott 1
mceachran 1
more 1
move 1
north 1
of 6
on 1
own 1
oxford 1
place 1
play 2
preparing 1
pupils 1
rather 1
ruthless 1
sake 1
school 3
schoolmaster 1
set 1
sexually 1
sheffield 1
style 1
styles 1
supply 1
table 1
takes 1
teacher 2
teachers 1
teaching 1
the 12
three 1
to 2
under 1
up 1
wants 1
was 1
with 1
