992298
/m/03xcln
/m/03xcln
Zane Grey

{"/m/0hfjk": "Western", "/m/02xlf": "Fiction"}
10 1
104 1
112 8
180 1
1830s 1
18471857 1
1862 1
1871 4
22 1
28 1
a 38
abandons 1
able 1
about 1
abused 1
accidentally 1
accompanies 1
act 1
acting 1
actual 1
actually 1
adopt 1
adopted 1
adoption 1
adversaries 1
affairs 1
after 4
afterward 1
against 2
agrees 1
allow 1
allowed 1
almost 2
along 1
also 4
although 1
ambiguously 1
american 1
amount 1
an 3
ancient 1
and 66
another 1
antibigamy 1
approaching 1
are 8
arrested 1
arrival 1
arrives 1
as 8
at 11
attack 1
attain 2
authority 1
avalanche 1
avenge 1
awaiting 1
aware 1
away 1
back 2
backdrop 1
balancing 2
battle 2
be 3
because 1
been 5
before 1
befriend 2
befriends 1
begin 2
begins 2
being 1
beliefs 1
believes 1
bern 4
bess 14
best 2
between 1
bishop 2
blindness 1
blindnessyour 1
book 1
both 2
boy 1
breaking 1
breaks 1
briefly 1
burros 1
business 1
but 9
by 14
calculated 1
can 2
cant 1
caon 1
card 1
care 1
cares 1
cattle 1
cause 1
causing 2
centered 1
championed 1
chapter 1
characters 3
child 2
chisel 1
chiseled 1
church 3
churchmen 2
clear 1
cliffdwellers 1
cliffs 1
climax 1
climb 1
closing 1
come 2
comes 1
coming 1
common 2
community 1
complex 1
concerning 1
conflict 2
continue 1
continued 1
continuously 1
contributed 1
controversy 1
convinces 1
correct 1
correctgrey 1
cottonwoods 2
could 1
country 1
coveted 1
cowboy 1
create 1
damned 1
daughter 2
days 1
deals 1
death 2
deception 1
decide 1
decides 1
declaring 1
dedicated 1
defender 1
defends 1
defense 1
delivers 1
demonstrated 1
departing 1
depicted 1
described 1
describes 1
determine 1
determines 1
develops 1
did 1
discovered 1
discovers 2
discuss 1
disguise 1
distance 1
distaste 1
do 1
doing 1
down 1
dreamy 1
driven 1
duty 1
dyer 1
each 2
early 2
east 1
elder 2
elders 2
elizabeth 1
enacted 1
encounter 1
end 3
ended 1
entry 1
erne 4
escalates 1
escape 3
even 1
events 1
eventually 1
evil 1
examination 1
except 1
experiences 1
explain 1
explains 2
express 1
expresses 1
eyes 1
fall 3
falls 1
false 1
famous 1
far 1
fate 1
father 4
fay 5
fear 1
few 1
find 1
finds 3
finger 1
fire 1
first 3
flees 2
for 5
forever 2
forget 1
forgive 1
forms 1
found 2
four 1
friend 1
friends 1
friendship 3
from 6
further 2
future 1
gains 1
gallop 1
gang 1
gazed 1
genre 1
gentile 7
gets 1
giant 1
girl 4
given 1
gives 1
goes 1
gold 1
gradually 1
grave 2
grew 1
grey 6
grow 1
guilt 2
guilty 1
gun 1
gunman 2
had 8
hall 1
hand 1
has 5
have 2
havent 1
he 20
head 1
health 1
hear 1
held 1
her 27
herd 3
here 2
hergrey 1
hidden 1
him 11
himself 1
his 18
hold 1
home 1
horse 1
horseback 1
horses 4
house 2
how 1
however 2
i 8
if 1
illinois 1
implacable 1
implicates 1
in 43
includes 1
including 2
indeed 1
individual 1
infamous 1
influx 1
inherited 1
inquires 1
instead 1
institution 1
intent 2
intention 1
into 3
introduced 3
introducing 1
invisible 1
ironically 1
is 35
issuing 1
it 14
its 2
jane 36
janes 5
jerry 1
just 1
keep 2
kidnapped 1
kill 1
killer 1
killing 2
kills 2
kirtland 1
knew 1
known 1
knows 1
knowsmuch 1
large 1
larkin 1
lassiter 31
lassiteri 1
lassiters 2
late 1
later 1
leader 1
leaders 1
leading 1
leads 1
learns 1
leave 4
leaves 1
leaving 2
left 2
less 1
life 1
lifestyle 1
lifted 1
like 1
little 1
local 1
location 1
locked 1
long 1
longer 1
longlost 1
look 1
loses 1
lost 1
love 11
main 2
mainstream 1
major 1
makes 1
man 2
managing 1
manifesto 1
many 3
marriage 2
marry 4
mask 1
masked 4
means 1
meanwhile 2
meddle 1
meim 1
members 1
men 2
mengrey 1
mention 1
mentions 2
message 1
midspring 1
might 1
millie 1
milly 4
misunderstood 1
mob 1
moment 1
morality 1
mormon 11
mormonborn 1
mormons 10
morrill 1
most 1
murdering 1
mused 1
must 1
mutual 1
mysterious 1
mystery 1
name 4
named 1
nature 1
need 1
never 1
no 1
nonmormon 1
not 6
notorious 2
novel 3
novels 1
number 1
obviously 1
occur 1
occurs 1
of 57
off 3
offensive 2
officially 3
often 1
ohio 2
oldring 2
oldrings 3
on 8
once 1
one 2
only 4
opening 1
openly 1
opinion 1
or 1
orphan 1
other 3
ought 1
out 1
outlet 1
overcome 1
own 2
packs 1
pair 1
paradise 1
paradiselike 1
part 2
pass 1
passed 1
persecute 1
persecution 3
place 1
plights 1
plot 3
plural 2
pnbsp 1
pnbsp14 1
pnbsp18 1
pnbsp28 1
point 4
polygamous 2
poor 1
possible 1
power 2
ppnbsp1415 1
ppnbsp6365 1
practice 2
prepare 2
preparing 1
pretends 1
prevent 1
preventing 1
primarily 1
prize 1
proclaimed 1
prohibited 1
proselytizing 1
protests 1
purple 8
pursued 2
ranch 3
rankles 1
ready 1
realize 1
realizing 1
really 1
rebukes 2
red 1
refuge 1
refuse 1
refused 1
refuses 1
region 1
religion 1
remember 1
remote 1
removes 1
rescues 1
resent 1
resentful 1
resolve 1
respectively 1
retrieves 1
return 1
returned 1
returning 2
rider 9
riders 7
right 3
risking 1
rock 2
roll 1
romance 1
rope 1
ruin 2
ruining 1
rustled 2
rustler 1
rustlers 4
sad 1
safe 1
safely 1
sage 7
same 1
save 1
saved 1
saying 1
screams 1
search 1
second 3
sect 1
see 4
seeing 1
seems 1
seen 1
sees 1
sentence 1
set 2
sets 1
settlers 1
shaking 1
she 8
shirt 1
shock 1
shooting 1
shortly 1
shot 1
should 1
shout 1
showing 1
shown 1
shudder 1
shutting 1
sister 3
slope 1
slowly 1
society 1
solves 1
some 3
somehow 1
something 1
sore 1
souls 1
southern 1
speaks 1
spinster 1
splendidly 1
spring 1
start 1
state 1
statehood 1
statement 4
stay 1
stays 1
stolen 2
stone 3
stories 1
story 4
straightforward 1
strand 1
streams 1
string 1
struggles 2
stylized 1
suffered 1
summer 1
supplies 1
supported 1
surprise 3
surviving 1
synonymous 1
take 2
takes 1
tales 1
telling 1
tells 3
term 1
territory 1
terror 1
that 23
thatbut 1
thatll 1
the 111
their 6
then 1
there 1
therefore 1
these 1
they 4
thieves 1
think 1
this 8
thoughtful 1
threads 1
through 5
throughout 1
thus 2
time 3
to 70
today 1
tools 1
toppling 1
toward 1
towards 1
track 1
trail 1
transfixed 1
transform 1
travel 1
travels 1
trip 2
troubled 1
true 2
trust 1
truth 1
trying 1
tull 8
tulls 2
turn 1
turned 1
two 2
under 1
understand 1
understands 1
unfortunately 1
unlike 1
unmasked 1
up 1
upon 2
us 1
usage 1
uses 2
using 1
utah 4
valley 5
valuable 1
value 1
venters 35
ventures 1
very 1
village 2
violence 1
wages 1
wants 1
warranting 1
was 7
wasdid 1
waves 1
way 4
we 4
wealth 1
weekhe 1
well 1
were 2
western 1
what 2
when 9
where 2
which 6
while 3
who 10
whom 3
wide 1
wilderness 1
will 2
wish 1
with 15
withersteen 9
withersteens 2
within 1
without 1
woman 3
women 1
womengrey 1
wonder 1
word 2
work 1
worth 1
would 1
wound 1
wounded 1
wrangle 1
written 1
years 2
yet 1
you 5
youll 1
