7125736
/m/0h5h8x
/m/0h5h8x
Lindsey Davis
2001
a 4
accepts 1
aelianus 1
also 1
and 7
architect 1
arrives 1
at 1
baby 1
bath 1
bathhouse 1
britain 1
british 2
brothersinlaw 1
building 1
by 1
chief 1
chieftain 1
commission 1
corpse 1
corrupt 1
cotta 1
daughters 1
didius 1
discovers 1
down 1
emperor 1
events 1
falco 4
fishbourne 1
fled 1
floor 1
for 2
found 1
from 1
glaucus 1
have 1
he 3
hidden 1
his 3
house 1
however 1
in 1
investigates 1
investigating 1
is 2
justinus 1
killings 1
king 1
late 1
marcus 1
men 2
mission 1
murdered 1
new 1
nurse 1
of 2
over 1
overbudget 1
practices 1
project 2
quickly 1
receives 1
responsible 1
running 1
seeks 1
starts 2
suspecting 1
take 1
takes 1
that 1
the 12
their 1
there 1
to 2
togidubnus 1
track 1
travels 1
turn 1
two 2
under 1
vespasian 1
when 2
wife 1
with 1
worse 1
