17504410
/m/04g0bjh
/m/04g0bjh
Geraldine McCaughrean
2001-10-18
{"/m/0dwly": "Children's literature"}
a 12
after 2
allows 1
and 9
announces 1
apparent 1
approach 1
arrive 1
as 1
at 2
attempts 1
averting 1
be 1
becomes 1
before 1
begin 1
blocking 1
book 1
both 1
branch 1
by 2
cause 1
cissy 2
comes 1
community 1
company 4
connection 1
creek 1
crossing 1
damage 1
days 1
death 1
decide 1
deciding 1
dedicated 1
did 1
director 1
disaster 1
documents 1
dont 1
during 1
east 1
efforts 1
enid 1
enidpond 1
fair 2
falling 1
few 1
florence 3
following 1
for 1
foul 1
from 3
gesture 1
girl 1
group 1
grow 1
grows 1
hardship 1
having 1
hence 1
her 1
hijacked 1
hold 1
human 1
ignoring 1
illegal 1
in 3
influenced 1
is 2
it 3
itself 1
land 3
legal 1
length 1
life 2
line 1
living 1
local 1
make 2
manage 1
may 1
men 1
might 1
more 1
new 2
no 2
of 13
off 1
oklahoma 1
olive 2
overwhelming 1
parents 1
partly 1
passengers 2
passes 1
pay 1
peaceful 1
people 3
persuading 1
pressuring 1
purchase 1
rail 1
railroad 6
railway 1
realising 1
reconciliation 1
reconstruct 1
removing 1
renamed 1
response 1
road 1
rumours 1
run 1
sabotage 1
sell 1
settle 1
settlement 1
she 1
should 1
show 1
some 1
sort 1
sparked 1
start 1
stop 6
story 1
struggle 1
success 1
suffering 1
take 1
that 5
the 37
their 3
thereby 1
they 2
through 3
to 19
towards 1
town 9
townsfolk 1
townspeople 3
track 1
train 4
trainload 1
trains 3
tribute 1
under 1
use 1
want 1
wants 1
war 1
what 1
wheels 1
which 1
who 1
will 1
within 1
young 1
