18102411
/m/04cv7p_
/m/04cv7p_
Aleksandr Pushkin
1837
18th 1
a 2
affair 1
and 5
antiquarianism 1
arrival 1
at 2
ball 1
both 1
boyar 1
boyars 1
but 1
by 3
century 1
chapters 1
color 1
countess 1
daughter 1
different 1
dinner 1
duty 1
first 1
following 1
french 3
full 1
gavrila 2
his 3
historical 1
ibrahim 2
in 2
interrupted 1
is 1
latter 1
life 1
love 1
manners 1
marry 1
morals 1
natalia 1
negro 1
novel 1
of 8
opens 1
own 1
palace 1
paris 1
peter 1
picture 1
place 1
quarter 1
returns 1
russia 1
russian 1
rzhevsky 1
sense 1
sketch 1
society 3
strata 1
success 1
summoned 1
the 13
to 3
tsar 1
vague 1
wants 1
who 1
winter 1
with 3
